KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
1681.01|5531953|12.580|138.3387326|0.0031100|6.939113808|0.000025990|23.894806|3.32427|0.022748|0.001018|+0.001355|-0.000681|0.99|0.14|+0.13|-0.15|0.1379|0.2222|+0.3066|-0.1378|89.95|2.24898|0.10425|3608|60|50|-70|4.854|0.065|0.070|-0.06|0.417|0.055|0.050|-0.06|0.400|0.055|0.050|-0.060|0|0|0.0532|436|709.5|33.2|24.4|19.41900|40.73005|0.3726|0.3509|0|0|5.35994|+0.74568|-1.89545|8.57|2.90|-2.84
1681.02|5531953|12.580|131.7056440|0.0032170|1.992812282|0.000007762|10.850603|1.07164|0.015748|0.001027|+0.001109|-0.000944|0.69|0.10|+0.08|-0.11|0.0382|0.2290|+0.4198|-0.0381|89.95|1.42624|0.13371|3608|60|50|-70|4.854|0.065|0.070|-0.06|0.417|0.055|0.050|-0.06|0.400|0.055|0.050|-0.060|0|0|0.0232|661|339.0|25.7|17.7|19.41900|40.73005|0.3726|0.3509|0|0|6.08536|+0.60101|-3.42500|45.08|15.21|-14.96
1681.03|5531953|12.580|134.3163480|0.0032911|3.531067446|0.000015513|18.174317|7.90296|0.016149|0.001092|+0.001754|-0.000430|0.71|0.10|+0.08|-0.11|0.1064|0.2200|+0.3337|-0.1063|89.38|1.50074|0.13755|3608|60|50|-70|4.854|0.065|0.070|-0.06|0.417|0.055|0.050|-0.06|0.400|0.055|0.050|-0.060|0|0|0.0339|547|355.5|32.0|14.6|19.41900|40.73005|0.3726|0.3509|0|0|9.10793|+3.96051|-4.38765|21.12|7.12|-7.01
1682.01|5618071|11.480|160.4917934|0.0196775|88.821421072|0.002483182|17.085842|7.51434|0.639503|0.359088|+0.359809|-0.358366|234.99|91.87|+122.14|-61.59|1.6227|0.3879|+0.3625|-0.4132|84.80|9.35061|1.21030|5081|139.5|127|-152|3.484|0.268|0.215|-0.321|1.258|0.313|0.314|-0.312|3.365|1.316|1.749|-0.882|0|0|0.4209|634|393.7|54.2|7.8|19.41454|40.83933|0.5209|0.1905|0|0|0.01196|+0.01052|-0.01041|38.13|59.07|-19.75
1683.01|6034945|13.032|133.9762404|0.0032141|9.114990295|0.000035328|15.779139|0.80190|0.015831|0.000450|+0.000627|-0.000274|1.78|0.47|+0.76|-0.19|0.0189|0.2225|+0.4263|-0.0187|89.95|4.48520|0.08906|5962|173.5|158|-189|4.431|0.1765|0.063|-0.29|1.039|0.158|0.192|-0.124|1.028|0.275|0.440|-0.109|0|0|0.0866|906|301.2|11.2|32.4|19.29223|41.39269|0.3650|0.2855|0|0|0.89453|+0.04546|-0.28838|159.34|201.43|-47.39
1684.01|6048024|11.563|151.4770076|0.0008473|62.815833949|0.000067096|60.892184|9.12955|0.399379|0.179849|+0.022452|-0.337247|50.42|16.22|+26.29|-6.15|1.3572|0.1993|+0.0266|-0.3720|88.81|2.68827|0.04393|6428|183.5|134|-233|4.377|0.189|0.072|-0.306|1.160|0.2055|0.245|-0.166|1.156|0.372|0.603|-0.141|0|0|0.3252|535|1706.1|25.7|88.9|19.56897|41.32990|0.3018|0.3103|0|0|1.08244|+0.16229|-0.07786|19.31|29.24|-6.47
1685.01|6049190|13.448|189.1609198|0.0030827|70.468026604|0.000260276|83.579960|4.60957|0.028593|0.000599|+0.000662|-0.000535|3.57|1.21|+1.99|-0.42|0.0476|0.2032|+0.3589|-0.0476|89.95|6.61820|0.10288|6458|210|168|-252|4.387|0.1965|0.067|-0.326|1.158|0.212|0.259|-0.165|1.142|0.385|0.638|-0.132|0|0|0.3510|514|962.2|25.4|42.7|19.59199|41.39382|0.2978|0.3092|0|0|2.22423|+0.12267|-0.59913|16.48|27.88|-5.49
1687.01|6198999|12.932|132.5546491|0.0021730|3.932461302|0.000009652|12.235406|3.68485|0.021127|0.002464|+0.004073|-0.000855|1.80|1.70|+3.24|-0.16|0.4939|0.2417|+0.0826|-0.4007|87.66|2.19819|0.06917|4841|130.5|143|-118|4.533|0.459|0.056|-0.862|0.756|0.096|0.135|-0.057|0.779|0.736|1.405|-0.066|0|0|0.0444|894|525.2|17.8|33.2|19.32805|41.54283|0.6117|0.1212|0|0|2.24070|+1.34963|-0.14855|151.31|1184.85|-36.47
1688.01|6310636|12.849|132.0302538|0.0027526|0.921032135|0.000003151|2.862260|0.02534|0.009570|0.000322|+0.000233|-0.000410|0.86|0.24|+0.39|-0.10|0.0399|0.2288|+0.4179|-0.0397|89.38|2.53454|0.07828|5738|165|183|-147|4.492|0.1905|0.089|-0.292|0.760|0.0815|0.116|-0.047|0.819|0.236|0.380|-0.093|0|0|0.0169|1762|109.6|4.7|27.1|19.89874|41.61534|0.3570|0.2854|0|0|0.52292|+0.00463|-0.20669|2278.48|3258.25|-664.62
1689.01|6312534|13.429|132.9423036|0.0003217|1.507761822|0.000000580|2.329490|0.91948|0.427760|0.229820|+0.323849|-0.135791|38.21|5.16|+7.38|-2.94|1.3299|0.2389|+0.3700|-0.1077|55.00|3.16826|0.01744|5069|157|175|-139|4.530|0.089|0.047|-0.131|0.826|0.0765|0.088|-0.065|0.818|0.111|0.158|-0.063|0|0|0.0242|1300|6116.5|33.3|347.8|19.92560|41.66208|0.5600|0.1597|0|0|0.10519|+0.04152|-0.01558|675.11|425.74|-160.52
