koi,koi,rprs,secthresh,maxrad,lhood_heb,pr_heb,lhood_heb_Px2,pr_heb_Px2,lhood_eb,pr_eb,lhood_eb_Px2,pr_eb_Px2,lhood_beb,pr_beb,lhood_beb_Px2,pr_beb_Px2,lhood_boxy,pr_boxy,lhood_long,pr_long,lhood_pl,pr_pl,lhood_tot,fp,FPP,kepid,period,rp,disposition,prob_ontarget,pos_prob_score,not_transitlike,significant_secondary,centroid_offset,ephem_match,MES,exception,has_ttv,n_cands
K00070.01,K00070.01,0.03,30.0,0.5,0.000215,2.64e-06,1.49e-05,7.4e-10,1.23e-05,5.49e-07,0.000985,4.2e-07,0.00346,2.99e-06,1.18e-11,5.9e-15,0.0,0.0,0.0,0.0,16.3,1.0,16.3,0.184,6.59e-06,6850504.0,10.854097835,,CONFIRMED,1.0,1.0,False,False,False,False,195.4274,,False,5.0
K00070.02,K00070.02,0.018,17.0,0.5,7.68e-09,5.33e-12,0.000321,8.09e-09,2.55e-12,7.57e-15,0.00131,2.46e-07,0.0184,3.43e-06,4.84e-14,7.98e-18,0.0,0.0,0.0,0.0,43.6,1.0,43.62,0.185,3.68e-06,6850504.0,3.696119675,,CONFIRMED,1.0,1.0,False,False,False,False,104.65924,,False,5.0
K00070.03,K00070.03,0.026,78.0,0.5,6.49e-05,4.7e-06,5.96e-05,1.48e-08,2.06e-05,4.93e-06,3.93e-11,7.66e-14,5.94e-05,4.59e-07,4.65e-11,1.72e-13,1.44e-06,8.47e-09,0.0,0.0,2.57,1.0,2.57,0.203,1.01e-05,6850504.0,77.6115987,,CONFIRMED,1.0,1.0,False,False,False,False,73.56477,,False,5.0
K00070.04,K00070.04,0.008,25.0,0.9,1.05e-14,1.89e-16,0.00532,1.47e-06,4.9e-17,3.62e-18,3.48e-05,6.56e-08,0.00937,7.86e-05,0.000138,8.35e-07,7.29e-05,6.5e-08,0.0,0.0,10.9,1.0,10.91,0.068,8.11e-05,6850504.0,6.09853672,,CONFIRMED,1.0,1.0,False,False,False,False,16.601109,,False,5.0
K00070.05,K00070.05,0.009,42.0,2.04,4.49e-08,5.62e-09,0.0145,1.21e-05,4.55e-08,2.04e-08,0.000476,3.11e-06,0.019,0.00401,0.00118,0.000151,0.000102,5.59e-07,0.0,0.0,2.93,0.996,2.965,0.081,0.00418,6850504.0,19.5776286,,CONFIRMED,0.94,0.88,False,False,False,False,13.279935,,False,5.0
K00072.01,K00072.01,0.013,9.0,1.05,1.19e-13,5.1e-17,0.00205,3.26e-08,1.12e-20,2.25e-23,0.000118,1.47e-08,0.293,0.000167,1.66e-18,5.81e-22,0.0,0.0,0.0,0.0,52.7,1.0,53.0,0.145,0.000167,11904151.0,0.837491331,,CONFIRMED,1.0,0.97,True,False,False,False,9.844207,,False,2.0
K00072.02,K00072.02,0.02,29.0,1.83,1.02e-05,9.27e-06,2.81e-08,5.45e-11,2.39e-05,6.64e-05,2.14e-14,3.4e-16,2.56e-05,2.36e-05,2.85e-12,1.17e-12,0.0,0.0,0.0,0.0,0.218,1.0,0.2181,0.214,9.92e-05,11904151.0,45.29431717,,CONFIRMED,1.0,1.0,False,False,False,False,96.81086,,False,2.0
K00074.01,K00074.01,0.025,25.0,1.95,3.87e-11,4.01e-12,8.77e-09,5.79e-12,5.84e-06,2.35e-06,2.93e-16,7.35e-19,5.99e-21,3.59e-21,4.12e-18,2.03e-18,0.0,0.0,0.0,0.0,1.85,1.0,1.85,0.053,2.35e-06,6889235.0,5.188670548,,FALSE POSITIVE,1.0,0.44,False,True,False,False,932.67053,,False,1.0
K00075.01,K00075.01,0.037,47.0,2.37,2.87e-13,2.52e-13,2.23e-16,3.16e-19,2.56e-67,6.62e-67,1.64e-87,6.76e-90,2.12e-53,2.9e-53,7.45e-75,5.3e-75,0.00338,0.000125,0.0,0.0,0.711,1.0,0.7144,0.067,0.000125,7199397.0,105.8823928,,CANDIDATE,0.95,0.82,False,False,False,False,193.75096,,True,1.0
K00076.01,K00076.01,0.033,397.0,1.77,1.84e-16,1.84e-16,1.45e-26,2.14e-29,7.38e-21,2.76e-20,6e-40,8e-42,1.33e-62,8.53e-63,7.84e-80,2.39e-80,0.0,0.0,0.0,0.0,1.08,1.0,1.08,0.051,2.22e-16,9955262.0,77.4797188,,CANDIDATE,1.0,0.01,False,False,False,False,50.983208,,False,1.0
K00080.01,K00080.01,0.267,95.0,0.5,0.179,0.0591,0.386,0.000442,0.623,0.922,0.249,0.00264,0.368,0.0129,0.00136,2.8e-05,0.0,0.0,0.0,0.0,0.224,0.00279,2.03,0.001,0.997,9552608.0,9.25058918,,FALSE POSITIVE,1.0,1.0,False,True,False,False,354.36334,,False,1.0
K00081.01,K00081.01,0.038,15.0,1.38,9.62e-50,1.36e-48,7.17e-28,1.15e-29,3.47e-48,1.91e-46,3.63e-53,8.22e-54,0.0,0.0,8.23e-185,4.48e-184,0.0,0.0,0.0,0.0,0.0302,1.0,0.0302,0.079,0.0,8823868.0,23.87609229,,FALSE POSITIVE,1.0,0.95,False,True,False,False,470.18103,,False,1.0
K00082.01,K00082.01,0.031,29.0,0.5,3.25e-08,4.74e-10,7.81e-07,3.52e-11,3.02e-10,1.3e-11,1.09e-12,2.06e-16,0.00674,8.41e-06,2.15e-13,1.67e-16,0.0,0.0,0.0,0.0,9.93,1.0,9.937,0.21,8.41e-06,10187017.0,16.145690772,,CONFIRMED,1.0,1.0,False,False,False,False,214.22546,,False,5.0
K00082.02,K00082.02,0.017,18.0,0.5,4.42e-13,8.85e-14,0.000918,5.59e-07,3.99e-16,2.18e-16,5.18e-07,1.36e-09,0.0108,0.000153,4.32e-05,3.49e-07,0.0,0.0,0.0,0.0,1.36,1.0,1.372,0.128,0.000154,10187017.0,10.31173752,,CONFIRMED,1.0,1.0,False,False,False,False,66.59048,,False,5.0
K00082.03,K00082.03,0.012,41.0,1.35,7.31e-09,4.94e-09,0.00274,4.02e-06,9.85e-15,2.02e-14,4.8e-05,5.46e-07,0.0298,0.00925,0.00183,0.000504,1.84e-05,6.68e-07,0.0,0.0,0.741,0.99,0.7754,0.082,0.00976,10187017.0,27.4537294,,CONFIRMED,1.0,0.99,False,False,False,False,22.751736,,False,5.0
K00082.04,K00082.04,0.008,16.0,0.99,2.94e-16,5.99e-17,0.0347,2.57e-05,1.83e-18,1.2e-18,0.00137,8.06e-06,0.0735,0.00474,0.000566,2.8e-05,0.0,0.0,0.0,0.0,5.34,0.995,5.45,0.018,0.00481,10187017.0,7.07136076,,CONFIRMED,1.0,1.0,False,False,False,False,20.686253,,False,5.0
K00082.05,K00082.05,0.006,16.0,1.26,2.13e-17,4.3e-17,0.0192,0.000278,2.05e-18,1.33e-17,0.00106,7.05e-05,0.0125,0.0154,0.00033,0.000408,0.000105,1.21e-05,1.66e-06,1.91e-07,6.58,0.984,6.613,0.001,0.0162,10187017.0,5.28695437,,CONFIRMED,1.0,0.88,False,False,False,False,14.343483,,False,5.0
K00082.06,K00082.06,0.009,37.0,3.9,0.000194,4.98e-05,0.114,4.63e-05,5.1e-06,3.89e-06,0.0512,0.000338,0.145,0.191,0.0551,0.0713,5.38e-05,8.92e-07,0.0,0.0,2.28,0.738,2.646,0.038,0.262,,,,,,0.0,True,True,True,True,,,False,
K00084.01,K00084.01,0.024,17.0,0.5,1.85e-10,1.33e-12,3.72e-06,1.07e-10,5.92e-12,1.36e-13,7.17e-11,1.65e-14,6.61e-05,1.12e-07,3.25e-14,3.34e-17,0.0,0.0,0.0,0.0,21.8,1.0,21.8,0.219,1.12e-07,2571238.0,9.286968825,,CONFIRMED,1.0,1.0,False,False,False,False,232.53705,,True,1.0
K00085.01,K00085.01,0.016,8.0,1.29,9.39e-10,9.65e-12,5.76e-06,5.24e-10,6.02e-11,2.12e-12,4.69e-11,2.09e-14,4.53e-12,4.95e-14,9.38e-35,8.47e-37,0.0,0.0,0.0,0.0,6.52,1.0,6.52,0.207,5.36e-10,5866724.0,5.859938722,,CONFIRMED,1.0,0.67,False,False,False,False,152.2298,,False,3.0
K00085.02,K00085.02,0.009,5.0,1.83,3.15e-17,9.47e-18,0.000126,5.04e-07,5.56e-21,6.79e-21,4.28e-05,1.02e-06,2.91e-15,2.51e-15,1.84e-10,9.37e-11,0.0,0.0,0.0,0.0,0.225,1.0,0.2252,0.138,1.52e-06,5866724.0,2.154909039,,CONFIRMED,1.0,0.67,False,False,False,False,64.38821,,False,3.0
