koi rprs secthresh maxrad pr_heb pr_heb_Px2 pr_eb pr_eb_Px2 pr_beb pr_beb_Px2 L_tot fp FPP
K06820.01 0.496 76534 0.50 nan nan nan nan nan nan nan nan nan 
K06821.01 0.004 6 2.37 nan nan nan nan nan nan nan nan nan 
K06822.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K06823.01 0.009 15 2.82 nan nan nan nan nan nan nan nan nan 
K06824.01 0.019 35 1.86 nan nan nan nan nan nan nan nan nan 
K06825.01 0.011 30 1.98 nan nan nan nan nan nan nan nan nan 
K06826.01 0.008 46 3.60 nan nan nan nan nan nan nan nan nan 
K06827.01 0.008 56 4.00 nan nan nan nan nan nan nan nan nan 
K06828.01 0.009 36 2.40 nan nan nan nan nan nan nan nan nan 
K06829.01 0.010 45 2.67 nan nan nan nan nan nan nan nan nan 
K06830.01 0.234 9886 0.50 nan nan nan nan nan nan nan nan nan 
K06831.01 0.472 24404 4.00 nan nan nan nan nan nan nan nan nan 
K06832.01 0.540 165347 0.50 nan nan nan nan nan nan nan nan nan 
K06833.01 0.497 193 0.50 nan nan nan nan nan nan nan nan nan 
K06834.01 0.020 296 0.50 nan nan nan nan nan nan nan nan nan 
K06835.01 0.005 37 4.50 nan nan nan nan nan nan nan nan nan 
K06836.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K06837.01 0.472 51947 1.35 nan nan nan nan nan nan nan nan nan 
K06838.01 0.447 9369 0.50 nan nan nan nan nan nan nan nan nan 
K06839.01 0.025 250 1.77 nan nan nan nan nan nan nan nan nan 
K06840.01 0.023 50 1.77 nan nan nan nan nan nan nan nan nan 
K06841.01 0.004 14 2.46 nan nan nan nan nan nan nan nan nan 
K06842.01 0.613 115358 4.00 nan nan nan nan nan nan nan nan nan 
K06843.01 0.008 64 1.71 nan nan nan nan nan nan nan nan nan 
K06844.01 0.006 18 1.74 nan nan nan nan nan nan nan nan nan 
K06845.01 0.708 148629 4.00 nan nan nan nan nan nan nan nan nan 
K06846.01 0.006 27 1.62 nan nan nan nan nan nan nan nan nan 
K06847.01 0.008 6 1.59 nan nan nan nan nan nan nan nan nan 
K06848.01 0.573 92994 0.50 nan nan nan nan nan nan nan nan nan 
K06849.01 0.015 152 1.98 nan nan nan nan nan nan nan nan nan 
K06850.01 0.010 25 1.59 nan nan nan nan nan nan nan nan nan 
K06851.01 0.020 226 4.00 nan nan nan nan nan nan nan nan nan 
K06852.01 0.102 200 4.00 nan nan nan nan nan nan nan nan nan 
K06853.01 0.008 156 2.58 nan nan nan nan nan nan nan nan nan 
K06854.01 0.011 60 1.80 nan nan nan nan nan nan nan nan nan 
K06855.01 0.003 3 3.60 nan nan nan nan nan nan nan nan nan 
K06856.01 0.013 83 1.65 nan nan nan nan nan nan nan nan nan 
K06857.01 0.014 68 1.44 nan nan nan nan nan nan nan nan nan 
K06858.01 0.008 117 1.86 nan nan nan nan nan nan nan nan nan 
K06859.01 0.007 12 3.90 nan nan nan nan nan nan nan nan nan 
K06860.01 0.005 13 1.92 nan nan nan nan nan nan nan nan nan 
K06861.01 0.342 31877 0.50 nan nan nan nan nan nan nan nan nan 
K06862.01 0.009 98 1.74 nan nan nan nan nan nan nan nan nan 
K06863.01 0.044 366 0.50 nan nan nan nan nan nan nan nan nan 
K06864.01 0.005 22 2.07 nan nan nan nan nan nan nan nan nan 
K06865.01 0.010 28 2.25 nan nan nan nan nan nan nan nan nan 
K06866.01 0.512 34373 0.50 nan nan nan nan nan nan nan nan nan 
K06867.01 0.006 6 3.60 nan nan nan nan nan nan nan nan nan 
K06868.01 0.010 13 1.92 nan nan nan nan nan nan nan nan nan 
K06869.01 0.499 31196 0.50 nan nan nan nan nan nan nan nan nan 
K06870.01 0.607 562 0.50 nan nan nan nan nan nan nan nan nan 
K06871.01 0.006 19 2.25 nan nan nan nan nan nan nan nan nan 
K06872.01 0.011 103 3.60 nan nan nan nan nan nan nan nan nan 
K06873.01 0.012 68 2.61 nan nan nan nan nan nan nan nan nan 
K06874.01 0.010 69 1.41 nan nan nan nan nan nan nan nan nan 
K06875.01 0.531 27695 0.50 nan nan nan nan nan nan nan nan nan 
K06876.01 0.064 27 1.05 nan nan nan nan nan nan nan nan nan 
K06877.01 0.436 879 5.40 nan nan nan nan nan nan nan nan nan 
K06878.01 0.016 80 1.83 nan nan nan nan nan nan nan nan nan 
K06879.01 0.278 49 0.50 nan nan nan nan nan nan nan nan nan 
K06880.01 0.547 35259 4.00 nan nan nan nan nan nan nan nan nan 
K06881.01 0.010 42 1.62 nan nan nan nan nan nan nan nan nan 
K06882.01 0.012 62 0.50 nan nan nan nan nan nan nan nan nan 
K06883.01 0.021 457 5.10 nan nan nan nan nan nan nan nan nan 
K06884.01 0.006 22 1.86 nan nan nan nan nan nan nan nan nan 
K06885.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K06886.01 0.047 10 1.47 nan nan nan nan nan nan nan nan nan 
K06887.01 0.008 44 2.22 nan nan nan nan nan nan nan nan nan 
K06888.01 0.007 47 2.94 nan nan nan nan nan nan nan nan nan 
K06889.01 0.005 34 1.50 nan nan nan nan nan nan nan nan nan 
K06890.01 0.009 48 3.00 nan nan nan nan nan nan nan nan nan 
K06891.01 0.600 271 0.50 nan nan nan nan nan nan nan nan nan 
K06892.01 0.012 122 2.31 nan nan nan nan nan nan nan nan nan 
K06893.01 0.392 49754 0.50 nan nan nan nan nan nan nan nan nan 
K06894.01 0.393 38 0.50 nan nan nan nan nan nan nan nan nan 
K06895.01 0.531 1500 0.50 nan nan nan nan nan nan nan nan nan 
K06896.01 0.011 175 0.50 nan nan nan nan nan nan nan nan nan 
K06897.01 0.013 185 3.00 nan nan nan nan nan nan nan nan nan 
K06898.01 0.017 220 5.70 nan nan nan nan nan nan nan nan nan 
K06899.01 0.578 1216 0.50 nan nan nan nan nan nan nan nan nan 
K06900.01 0.477 129 0.50 nan nan nan nan nan nan nan nan nan 
K06901.01 0.433 87495 0.50 nan nan nan nan nan nan nan nan nan 
K06902.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K06903.01 0.608 56713 4.00 nan nan nan nan nan nan nan nan nan 
K06904.01 0.015 381 4.50 nan nan nan nan nan nan nan nan nan 
K06905.01 0.598 114118 4.00 nan nan nan nan nan nan nan nan nan 
K06906.01 0.870 287 0.50 nan nan nan nan nan nan nan nan nan 
K06907.01 0.015 163 1.47 nan nan nan nan nan nan nan nan nan 
K06908.01 0.690 156884 4.00 nan nan nan nan nan nan nan nan nan 
K06909.01 0.460 3176 0.72 nan nan nan nan nan nan nan nan nan 
K06910.01 0.012 128 0.50 nan nan nan nan nan nan nan nan nan 
K06911.01 0.006 21 0.50 nan nan nan nan nan nan nan nan nan 
K06912.01 0.222 2055 0.75 nan nan nan nan nan nan nan nan nan 
K06913.01 0.007 41 0.63 nan nan nan nan nan nan nan nan nan 
K06913.02 0.008 130 2.01 nan nan nan nan nan nan nan nan nan 
K06914.01 0.272 758 0.50 nan nan nan nan nan nan nan nan nan 
K06915.01 0.014 142 0.50 nan nan nan nan nan nan nan nan nan 
K06916.01 0.011 122 1.74 nan nan nan nan nan nan nan nan nan 
K06917.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K06918.01 0.075 1619 0.50 nan nan nan nan nan nan nan nan nan 
K06919.01 0.016 206 2.85 nan nan nan nan nan nan nan nan nan 
K06920.01 0.513 173 0.50 nan nan nan nan nan nan nan nan nan 
K06921.01 0.010 65 2.01 nan nan nan nan nan nan nan nan nan 
K06922.01 0.316 174 0.50 nan nan nan nan nan nan nan nan nan 
K06923.01 0.509 70393 4.00 nan nan nan nan nan nan nan nan nan 
K06924.01 0.498 48884 0.50 nan nan nan nan nan nan nan nan nan 
K06925.01 0.016 344 1.62 nan nan nan nan nan nan nan nan nan 
K06926.01 0.007 21 1.95 nan nan nan nan nan nan nan nan nan 
K06927.01 0.029 907 5.70 nan nan nan nan nan nan nan nan nan 
K06928.01 0.005 24 2.28 nan nan nan nan nan nan nan nan nan 
K06929.01 0.493 42071 0.50 nan nan nan nan nan nan nan nan nan 
K06930.01 0.384 3631 0.50 nan nan nan nan nan nan nan nan nan 
K06931.01 0.012 87 1.71 nan nan nan nan nan nan nan nan nan 
K06932.01 0.359 349 0.50 nan nan nan nan nan nan nan nan nan 
K06933.01 0.789 686 4.00 nan nan nan nan nan nan nan nan nan 
K06934.01 0.009 43 2.19 nan nan nan nan nan nan nan nan nan 
K06935.01 0.429 6837 0.50 nan nan nan nan nan nan nan nan nan 
K06936.01 0.413 653 0.50 nan nan nan nan nan nan nan nan nan 
K06937.01 0.469 27573 0.50 nan nan nan nan nan nan nan nan nan 
K06938.01 0.366 19055 0.50 nan nan nan nan nan nan nan nan nan 
K06939.01 0.629 44027 0.50 nan nan nan nan nan nan nan nan nan 
K06940.01 0.575 227389 0.50 nan nan nan nan nan nan nan nan nan 
K06941.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K06942.01 0.678 1089 0.50 nan nan nan nan nan nan nan nan nan 
K06943.01 0.455 92481 0.50 nan nan nan nan nan nan nan nan nan 
K06944.01 0.471 104 0.50 nan nan nan nan nan nan nan nan nan 
K06945.01 0.040 28 0.50 nan nan nan nan nan nan nan nan nan 
K06946.01 0.040 26 0.50 nan nan nan nan nan nan nan nan nan 
K06947.01 0.464 470 0.50 nan nan nan nan nan nan nan nan nan 
K06948.01 0.476 40655 0.50 nan nan nan nan nan nan nan nan nan 
K06949.01 0.006 24 2.28 nan nan nan nan nan nan nan nan nan 
K06950.01 0.267 4316 0.50 nan nan nan nan nan nan nan nan nan 
K06951.01 0.393 9651 0.50 nan nan nan nan nan nan nan nan nan 
K06952.01 0.010 57 1.05 nan nan nan nan nan nan nan nan nan 
K06953.01 0.462 298 4.00 nan nan nan nan nan nan nan nan nan 
K06954.01 0.005 18 2.55 nan nan nan nan nan nan nan nan nan 
K06955.01 0.013 15 1.86 nan nan nan nan nan nan nan nan nan 
K06956.01 0.009 46 3.60 nan nan nan nan nan nan nan nan nan 
K06957.01 0.008 27 2.34 nan nan nan nan nan nan nan nan nan 
K06958.01 0.655 92628 4.00 nan nan nan nan nan nan nan nan nan 
K06959.01 0.681 20726 0.50 nan nan nan nan nan nan nan nan nan 
K06960.01 0.010 76 1.65 nan nan nan nan nan nan nan nan nan 
K06961.01 0.708 136895 0.50 nan nan nan nan nan nan nan nan nan 
K06962.01 0.011 96 0.93 nan nan nan nan nan nan nan nan nan 
K06963.01 0.386 4800 4.00 nan nan nan nan nan nan nan nan nan 
K06964.01 0.634 125 4.00 nan nan nan nan nan nan nan nan nan 
K06965.01 0.014 13 0.63 nan nan nan nan nan nan nan nan nan 
K06966.01 0.014 126 1.98 nan nan nan nan nan nan nan nan nan 
K06967.01 0.022 325 1.62 nan nan nan nan nan nan nan nan nan 
K06968.01 0.548 34884 4.00 nan nan nan nan nan nan nan nan nan 
K06969.01 0.241 6167 0.50 nan nan nan nan nan nan nan nan nan 
K06970.01 0.016 172 3.00 nan nan nan nan nan nan nan nan nan 
K06971.01 0.019 296 1.83 nan nan nan nan nan nan nan nan nan 
K06972.01 0.006 41 1.14 nan nan nan nan nan nan nan nan nan 
K06973.01 0.012 24 0.50 nan nan nan nan nan nan nan nan nan 
K06974.01 0.425 426 0.50 nan nan nan nan nan nan nan nan nan 
K06975.01 0.442 21074 0.50 nan nan nan nan nan nan nan nan nan 
K06976.01 0.211 24355 0.50 nan nan nan nan nan nan nan nan nan 
K06977.01 0.401 736 0.50 nan nan nan nan nan nan nan nan nan 
K06978.01 0.007 28 4.20 nan nan nan nan nan nan nan nan nan 
K06979.01 0.470 12946 0.50 nan nan nan nan nan nan nan nan nan 
K06980.01 0.010 79 2.43 nan nan nan nan nan nan nan nan nan 
K06981.01 0.014 281 5.40 nan nan nan nan nan nan nan nan nan 
K06982.01 0.007 23 2.28 nan nan nan nan nan nan nan nan nan 
K06983.01 0.008 56 1.95 nan nan nan nan nan nan nan nan nan 
K06984.01 0.005 18 2.67 nan nan nan nan nan nan nan nan nan 
K06985.01 0.008 80 1.98 nan nan nan nan nan nan nan nan nan 
K06986.01 0.592 27953 4.00 nan nan nan nan nan nan nan nan nan 
K06987.01 0.102 11 0.57 nan nan nan nan nan nan nan nan nan 
K06988.01 0.468 50068 0.50 nan nan nan nan nan nan nan nan nan 
K06989.01 0.321 4854 0.50 nan nan nan nan nan nan nan nan nan 
K06990.01 0.525 44002 0.50 nan nan nan nan nan nan nan nan nan 
K06991.01 0.251 2629 0.50 nan nan nan nan nan nan nan nan nan 
K06992.01 0.009 20 2.58 nan nan nan nan nan nan nan nan nan 
K06993.01 0.013 112 1.59 nan nan nan nan nan nan nan nan nan 
K06994.01 0.005 13 2.43 nan nan nan nan nan nan nan nan nan 
K06995.01 0.407 104 0.50 nan nan nan nan nan nan nan nan nan 
K06996.01 0.422 243 0.50 nan nan nan nan nan nan nan nan nan 
K06997.01 0.313 95 0.50 nan nan nan nan nan nan nan nan nan 
K06998.01 0.492 4560 0.50 nan nan nan nan nan nan nan nan nan 
K06999.01 0.661 572 0.50 nan nan nan nan nan nan nan nan nan 
K07000.01 0.336 794 0.50 nan nan nan nan nan nan nan nan nan 
K07001.01 0.010 73 2.64 nan nan nan nan nan nan nan nan nan 
K07002.01 0.014 101 1.98 nan nan nan nan nan nan nan nan nan 
K07003.01 0.008 42 2.94 nan nan nan nan nan nan nan nan nan 
K07004.01 0.520 64068 0.50 nan nan nan nan nan nan nan nan nan 
K07005.01 0.040 1213 0.51 nan nan nan nan nan nan nan nan nan 
K07006.01 0.005 19 2.76 nan nan nan nan nan nan nan nan nan 
K07007.01 0.012 48 1.89 nan nan nan nan nan nan nan nan nan 
K07008.01 0.415 41619 0.50 nan nan nan nan nan nan nan nan nan 
K07009.01 0.016 294 0.50 nan nan nan nan nan nan nan nan nan 
K07010.01 0.437 526 0.50 nan nan nan nan nan nan nan nan nan 
K07011.01 0.317 24963 0.50 nan nan nan nan nan nan nan nan nan 
K07012.01 0.723 76197 4.00 nan nan nan nan nan nan nan nan nan 
K07013.01 0.576 70 4.00 nan nan nan nan nan nan nan nan nan 
K07014.01 0.393 104 1.35 nan nan nan nan nan nan nan nan nan 
K07015.01 0.011 47 2.34 nan nan nan nan nan nan nan nan nan 
K07016.01 0.013 120 1.26 nan nan nan nan nan nan nan nan nan 
K07017.01 0.475 93774 0.50 nan nan nan nan nan nan nan nan nan 
K07018.01 0.448 228125 0.50 nan nan nan nan nan nan nan nan nan 
K07019.01 0.431 27254 0.50 nan nan nan nan nan nan nan nan nan 
K07020.01 0.458 40 0.50 nan nan nan nan nan nan nan nan nan 
K07021.01 0.464 16305 0.50 nan nan nan nan nan nan nan nan nan 
K07022.01 0.414 5859 0.50 nan nan nan nan nan nan nan nan nan 
K07023.01 0.007 37 2.43 nan nan nan nan nan nan nan nan nan 
K07024.01 0.607 44669 4.00 nan nan nan nan nan nan nan nan nan 
K07025.01 0.227 41 2.19 nan nan nan nan nan nan nan nan nan 
K07026.01 0.518 35575 4.00 nan nan nan nan nan nan nan nan nan 
K07027.01 0.337 34485 0.50 nan nan nan nan nan nan nan nan nan 
K07028.01 0.643 175750 4.00 nan nan nan nan nan nan nan nan nan 
K07029.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07030.01 0.242 219 0.50 nan nan nan nan nan nan nan nan nan 
K07031.01 0.019 108 0.50 nan nan nan nan nan nan nan nan nan 
K07032.01 0.006 29 2.88 nan nan nan nan nan nan nan nan nan 
K07033.01 0.007 19 2.13 nan nan nan nan nan nan nan nan nan 
K07034.01 0.657 11800 4.00 nan nan nan nan nan nan nan nan nan 
K07035.01 0.528 37956 4.00 nan nan nan nan nan nan nan nan nan 
K07036.01 0.010 39 1.32 nan nan nan nan nan nan nan nan nan 
K07037.01 0.284 864 0.50 nan nan nan nan nan nan nan nan nan 
K07038.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07039.01 0.616 3810 4.00 nan nan nan nan nan nan nan nan nan 
K07040.01 0.027 324 1.50 nan nan nan nan nan nan nan nan nan 
K07041.01 0.009 55 2.37 nan nan nan nan nan nan nan nan nan 
K07042.01 0.625 401 0.50 nan nan nan nan nan nan nan nan nan 
K07043.01 0.425 96 0.50 nan nan nan nan nan nan nan nan nan 
K07044.01 0.361 452 0.50 nan nan nan nan nan nan nan nan nan 
K07045.01 0.515 67841 0.50 nan nan nan nan nan nan nan nan nan 
K07046.01 0.556 220 4.00 nan nan nan nan nan nan nan nan nan 
K07047.01 0.192 899 0.50 nan nan nan nan nan nan nan nan nan 
K07048.01 0.518 54149 0.50 nan nan nan nan nan nan nan nan nan 
K07049.01 0.289 5495 0.50 nan nan nan nan nan nan nan nan nan 
K07050.01 0.008 17 1.80 nan nan nan nan nan nan nan nan nan 
K07051.01 0.016 135 0.50 nan nan nan nan nan nan nan nan nan 
K07052.01 0.267 18229 0.50 nan nan nan nan nan nan nan nan nan 
K07053.01 0.049 16 3.30 nan nan nan nan nan nan nan nan nan 
K07054.01 0.834 148 1.92 nan nan nan nan nan nan nan nan nan 
K07055.01 0.516 26851 0.50 nan nan nan nan nan nan nan nan nan 
K07056.01 0.649 12790 4.00 nan nan nan nan nan nan nan nan nan 
K07057.01 0.029 791 0.50 nan nan nan nan nan nan nan nan nan 
K07058.01 0.250 38738 0.50 nan nan nan nan nan nan nan nan nan 
K07059.01 0.826 35398 2.79 nan nan nan nan nan nan nan nan nan 
K07060.01 0.011 69 2.91 nan nan nan nan nan nan nan nan nan 
K07061.01 0.028 44 0.50 nan nan nan nan nan nan nan nan nan 
K07062.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07063.01 0.425 9580 0.50 nan nan nan nan nan nan nan nan nan 
K07064.01 0.563 49965 4.00 nan nan nan nan nan nan nan nan nan 
K07065.01 0.438 6880 0.50 nan nan nan nan nan nan nan nan nan 
K07066.01 0.315 21932 0.50 nan nan nan nan nan nan nan nan nan 
K07067.01 0.644 9160 4.00 nan nan nan nan nan nan nan nan nan 
K07068.01 0.619 127151 4.00 nan nan nan nan nan nan nan nan nan 
K07069.01 0.014 129 4.00 nan nan nan nan nan nan nan nan nan 
K07070.01 0.912 46831 0.50 nan nan nan nan nan nan nan nan nan 
K07071.01 0.465 44420 0.50 nan nan nan nan nan nan nan nan nan 
K07072.01 0.008 55 1.83 nan nan nan nan nan nan nan nan nan 
K07073.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07074.01 0.014 202 3.30 nan nan nan nan nan nan nan nan nan 
K07075.01 0.594 292474 0.50 nan nan nan nan nan nan nan nan nan 
K07076.01 0.011 72 2.52 nan nan nan nan nan nan nan nan nan 
K07077.01 0.662 159960 4.00 nan nan nan nan nan nan nan nan nan 
K07078.01 0.542 151 0.50 nan nan nan nan nan nan nan nan nan 
K07079.01 0.685 100354 4.00 nan nan nan nan nan nan nan nan nan 
K07080.01 0.004 11 2.73 nan nan nan nan nan nan nan nan nan 
K07081.01 0.529 1300 4.00 nan nan nan nan nan nan nan nan nan 
K07082.01 0.623 570 0.50 nan nan nan nan nan nan nan nan nan 
K07083.01 0.454 5049 0.50 nan nan nan nan nan nan nan nan nan 
K07084.01 0.017 8 0.57 nan nan nan nan nan nan nan nan nan 
K07085.01 0.332 8838 0.50 nan nan nan nan nan nan nan nan nan 
K07086.01 0.151 194 0.50 nan nan nan nan nan nan nan nan nan 
K07087.01 0.415 2925 0.50 nan nan nan nan nan nan nan nan nan 
K07088.01 0.012 65 1.83 nan nan nan nan nan nan nan nan nan 
K07089.01 0.009 20 0.50 nan nan nan nan nan nan nan nan nan 
K07090.01 0.381 123466 0.50 nan nan nan nan nan nan nan nan nan 
K07091.01 0.594 482 4.00 nan nan nan nan nan nan nan nan nan 
K07092.01 0.015 268 1.50 nan nan nan nan nan nan nan nan nan 
K07093.01 0.010 102 2.49 nan nan nan nan nan nan nan nan nan 
K07094.01 0.014 195 1.47 nan nan nan nan nan nan nan nan nan 
K07095.01 0.007 9 2.31 nan nan nan nan nan nan nan nan nan 
K07096.01 0.696 158923 4.00 nan nan nan nan nan nan nan nan nan 
K07097.01 0.478 14723 0.50 nan nan nan nan nan nan nan nan nan 
K07098.01 0.472 30 4.00 nan nan nan nan nan nan nan nan nan 
K07099.01 0.019 240 3.30 nan nan nan nan nan nan nan nan nan 
K07100.01 0.437 6904 0.50 nan nan nan nan nan nan nan nan nan 
K07101.01 0.018 46 4.00 nan nan nan nan nan nan nan nan nan 
K07102.01 0.012 79 1.80 nan nan nan nan nan nan nan nan nan 
K07103.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07104.01 0.282 2194 0.50 nan nan nan nan nan nan nan nan nan 
K07105.01 0.687 843 4.00 nan nan nan nan nan nan nan nan nan 
K07106.01 0.009 51 1.56 nan nan nan nan nan nan nan nan nan 
K07107.01 0.005 15 1.95 nan nan nan nan nan nan nan nan nan 
K07108.01 0.652 15504 0.50 nan nan nan nan nan nan nan nan nan 
K07109.01 0.432 116 0.50 nan nan nan nan nan nan nan nan nan 
K07110.01 0.548 105 4.00 nan nan nan nan nan nan nan nan nan 
K07111.01 0.014 204 3.30 nan nan nan nan nan nan nan nan nan 
K07112.01 0.015 153 4.00 nan nan nan nan nan nan nan nan nan 
K07113.01 0.533 548 0.50 nan nan nan nan nan nan nan nan nan 
K07114.01 0.006 15 1.71 nan nan nan nan nan nan nan nan nan 
K07115.01 0.093 78 2.28 nan nan nan nan nan nan nan nan nan 
K07116.01 0.006 16 1.77 nan nan nan nan nan nan nan nan nan 
K07117.01 0.010 58 2.67 nan nan nan nan nan nan nan nan nan 
K07117.02 0.014 227 2.43 nan nan nan nan nan nan nan nan nan 
K07118.01 0.527 110165 0.50 nan nan nan nan nan nan nan nan nan 
K07119.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07120.01 0.571 30538 0.50 nan nan nan nan nan nan nan nan nan 
K07121.01 0.505 589 0.50 nan nan nan nan nan nan nan nan nan 
K07122.01 0.462 26771 0.50 nan nan nan nan nan nan nan nan nan 
K07123.01 0.007 19 2.37 nan nan nan nan nan nan nan nan nan 
K07124.01 0.385 630 0.50 nan nan nan nan nan nan nan nan nan 
K07125.01 0.009 57 1.95 nan nan nan nan nan nan nan nan nan 
K07126.01 0.555 95 4.00 nan nan nan nan nan nan nan nan nan 
K07127.01 0.018 40 0.81 nan nan nan nan nan nan nan nan nan 
K07128.01 0.012 49 2.94 nan nan nan nan nan nan nan nan nan 
K07129.01 0.015 145 2.79 nan nan nan nan nan nan nan nan nan 
K07130.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07131.01 0.241 5682 0.50 nan nan nan nan nan nan nan nan nan 
K07132.01 0.601 64 4.00 nan nan nan nan nan nan nan nan nan 
K07133.01 0.013 145 1.35 nan nan nan nan nan nan nan nan nan 
K07134.01 0.008 23 2.28 nan nan nan nan nan nan nan nan nan 
K07135.01 0.563 219837 0.50 nan nan nan nan nan nan nan nan nan 
K07136.01 0.024 575 3.90 nan nan nan nan nan nan nan nan nan 
K07137.01 0.011 74 1.83 nan nan nan nan nan nan nan nan nan 
K07138.01 0.672 26139 4.00 nan nan nan nan nan nan nan nan nan 
K07139.01 0.671 2410 0.50 nan nan nan nan nan nan nan nan nan 
K07140.01 0.009 36 1.14 nan nan nan nan nan nan nan nan nan 
K07141.01 0.286 5798 0.50 nan nan nan nan nan nan nan nan nan 
K07142.01 0.397 308 0.50 nan nan nan nan nan nan nan nan nan 
K07143.01 0.332 1071 1.38 nan nan nan nan nan nan nan nan nan 
K07144.01 0.010 55 2.58 nan nan nan nan nan nan nan nan nan 
K07145.01 0.760 101139 4.00 nan nan nan nan nan nan nan nan nan 
K07146.01 0.734 91984 4.00 nan nan nan nan nan nan nan nan nan 
K07147.01 0.492 1086 4.00 nan nan nan nan nan nan nan nan nan 
K07148.01 0.017 164 3.30 nan nan nan nan nan nan nan nan nan 
K07149.01 0.473 63504 0.50 nan nan nan nan nan nan nan nan nan 
K07150.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07151.01 0.444 21081 0.50 nan nan nan nan nan nan nan nan nan 
K07152.01 0.360 2012 0.50 nan nan nan nan nan nan nan nan nan 
K07153.01 0.617 47148 4.00 nan nan nan nan nan nan nan nan nan 
K07154.01 0.008 35 1.44 nan nan nan nan nan nan nan nan nan 
K07155.01 0.711 31351 4.00 nan nan nan nan nan nan nan nan nan 
K07155.02 0.811 3388 0.50 nan nan nan nan nan nan nan nan nan 
K07156.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07157.01 0.008 51 2.70 nan nan nan nan nan nan nan nan nan 
K07158.01 0.007 31 4.20 nan nan nan nan nan nan nan nan nan 
K07159.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07160.01 0.006 23 0.84 nan nan nan nan nan nan nan nan nan 
K07161.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07162.01 0.005 16 3.60 nan nan nan nan nan nan nan nan nan 
K07163.01 0.631 81708 4.00 nan nan nan nan nan nan nan nan nan 
K07164.01 0.323 10279 0.50 nan nan nan nan nan nan nan nan nan 
K07165.01 0.526 43313 0.50 nan nan nan nan nan nan nan nan nan 
K07166.01 0.008 37 1.80 nan nan nan nan nan nan nan nan nan 
K07167.01 0.375 37240 4.00 nan nan nan nan nan nan nan nan nan 
K07168.01 0.019 150 0.50 nan nan nan nan nan nan nan nan nan 
K07169.01 0.005 20 2.94 nan nan nan nan nan nan nan nan nan 
K07170.01 0.345 281 0.50 nan nan nan nan nan nan nan nan nan 
K07171.01 0.686 61217 4.00 nan nan nan nan nan nan nan nan nan 
K07172.01 0.409 2720 0.50 nan nan nan nan nan nan nan nan nan 
K07173.01 0.561 86754 0.50 nan nan nan nan nan nan nan nan nan 
K07174.01 0.006 22 1.68 nan nan nan nan nan nan nan nan nan 
K07175.01 0.008 35 1.38 nan nan nan nan nan nan nan nan nan 
K07176.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07177.01 0.292 3329 0.50 nan nan nan nan nan nan nan nan nan 
K07178.01 0.345 131011 0.50 nan nan nan nan nan nan nan nan nan 
K07179.01 0.009 73 9.00 nan nan nan nan nan nan nan nan nan 
K07180.01 0.019 446 4.00 nan nan nan nan nan nan nan nan nan 
K07181.01 0.556 64886 4.00 nan nan nan nan nan nan nan nan nan 
K07182.01 0.022 485 2.22 nan nan nan nan nan nan nan nan nan 
K07183.01 0.602 97 4.00 nan nan nan nan nan nan nan nan nan 
K07184.01 0.007 30 0.54 nan nan nan nan nan nan nan nan nan 
K07185.01 0.434 7131 0.50 nan nan nan nan nan nan nan nan nan 
K07186.01 0.021 65 2.61 nan nan nan nan nan nan nan nan nan 
K07187.01 0.609 2562 0.50 nan nan nan nan nan nan nan nan nan 
K07188.01 0.006 25 2.55 nan nan nan nan nan nan nan nan nan 
K07189.01 0.011 133 2.67 nan nan nan nan nan nan nan nan nan 
K07190.01 0.011 61 0.50 nan nan nan nan nan nan nan nan nan 
K07191.01 0.612 105850 0.50 nan nan nan nan nan nan nan nan nan 
K07192.01 0.208 5657 0.50 nan nan nan nan nan nan nan nan nan 
K07193.01 0.011 72 1.95 nan nan nan nan nan nan nan nan nan 
K07194.01 0.012 109 3.30 nan nan nan nan nan nan nan nan nan 
K07195.01 0.008 57 1.14 nan nan nan nan nan nan nan nan nan 
K07196.01 0.523 126380 0.50 nan nan nan nan nan nan nan nan nan 
K07197.01 0.018 141 1.38 nan nan nan nan nan nan nan nan nan 
K07198.01 0.306 959 0.50 nan nan nan nan nan nan nan nan nan 
K07199.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K07200.01 0.391 10150 0.50 nan nan nan nan nan nan nan nan nan 
K07201.01 0.009 32 4.00 nan nan nan nan nan nan nan nan nan 
