,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_dv_run_id,pp_host_prob_score,pp_host_prior_prob,pp_2mod_depth,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_host_rel_prob,pp_bkgd_density,pp_2prob_prov,pp_1hi_dec,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag,pp_2hi_rel_prob,pp_2hi_prob_prov,pp_2hi_mod_depth,pp_1prob_prov,pp_1rel_prob,pp_1mod_depth
K00075.01,PROB,KIC 7199397,0.96,,0.0001527,291.4972,550.0,UKIRT 44117912681464,q1_q17_dr24_tce,0.82,0.84,,156.992,42.728,105.88,KIC,0.96,5.174e-06,,42.7285,1615.0,291.4983,10.78,17.11,0.042,UKIRT,190439.0,,,
K00076.01,PROB,KIC 9955262,1.0,,0.0001265,293.542,5615.0,,q1_q17_dr24_tce,0.01,0.85,,154.7042,,77.48,KIC,1.0,3.962e-06,,46.8221,1297.0,,10.14,,,,,,,
K00080.01,PROB,KIC 9552608,1.0,,4.343e-06,300.5376,8914.0,KIC 9552600,q1_q17_dr24_tce,1.0,0.72,,135.4075,46.1028,9.25,KIC,1.0,1.182e-05,,46.1043,1033.0,300.536,11.31,15.67,0.0,KIC,745524.0,,,
K00081.01,PROB,KIC 8823868,1.0,,1.493e-05,293.7857,45189.0,,q1_q17_dr24_tce,1.0,0.83,,155.0083,,23.88,KIC,1.0,6.238e-06,,45.0185,5327.0,,11.41,,,,,,,
K00082.01,PROB,KIC 10187017,1.0,,6.339e-07,281.4827,7342.0,,q1_q17_dr24_tce,1.0,0.94,,134.7541,,16.15,KIC,1.0,2.18e-06,,47.208,965.0,,11.49,,,,,,,
K00082.02,PROB,KIC 10187017,1.0,,3.5e-06,281.4827,1808.0,,q1_q17_dr24_tce,1.0,0.94,,134.0808,,10.31,KIC,1.0,2.18e-06,,47.208,279.0,,11.49,,,,,,,
K00082.03,PROB,KIC 10187017,1.0,,3.975e-05,281.4827,670.0,,q1_q17_dr24_tce,0.99,0.94,,145.0222,,27.45,KIC,1.0,2.18e-06,,47.208,145.0,,11.49,,,,,,,
K00082.04,PROB,KIC 10187017,1.0,,9.646e-06,281.4827,512.0,,q1_q17_dr24_tce,1.0,0.94,,132.9167,,7.07,KIC,1.0,2.18e-06,,47.208,68.0,,11.49,,,,,,,
K00082.05,PROB,KIC 10187017,1.0,,1.476e-05,281.4827,303.0,,q1_q17_dr24_tce,0.95,0.94,,135.85,,5.29,KIC,1.0,2.18e-06,,47.208,44.0,,11.49,,,,,,,
K00084.01,PROB,KIC 2571238,1.0,,5.714e-06,290.4208,5401.0,,q1_q17_dr24_tce,1.0,0.8,,135.9939,,9.29,KIC,1.0,7.791e-06,,37.8518,691.0,,11.9,,,,,,,
