KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
7141.01|9172506|10.647|149.9082028|0.0000517|50.440297164|0.000003048|34.950849|0.04074|0.286397|0.000065|+0.000059|-0.000072|39.69|13.61|+19.42|-7.79|0.6598|0.0003|+0.0003|-0.0004|88.81|12.17920|0.00322|6237|170|154|186|4.241|0.217|0.175|0.260|1.021|0.171|0.220|0.122|1.269|0.435|0.621|0.249|0|0|0.2694|597|85145.7|22.3|6590.1|19.86441|45.54579|0.3135|0.3028|0|0|0.31745|+0.00037|-0.00037|30.05|43.44|-12.85
7142.01|9179531|13.252|132.5033168|0.0002125|3.255387568|0.000000846|5.300572|0.04187|0.397095|0.001848|+0.001827|-0.001868|42.28|10.78|+16.39|-5.16|0.6146|0.0060|+0.0059|-0.0062|83.08|5.98402|0.02676|5806|180|180|179|4.425|0.175|0.089|0.262|0.923|0.107|0.129|0.085|0.975|0.248|0.378|0.119|0|0|0.0419|1235|162390.9|811.8|1247.5|19.99521|45.59508|0.3795|0.2748|0|0|0.26584|+0.00210|-0.00175|550.68|647.50|-176.19
7143.01|9181340|13.214|133.3000886|0.0005420|2.131224751|0.000001402|1.762946|0.56782|0.332485|0.231999|+0.359852|-0.104146|37.32|9.22|+13.18|-5.26|1.2694|0.2385|+0.3665|-0.1105|44.12|5.49830|0.02907|6181|192|180|204|4.380|0.180|0.110|0.251|0.925|0.112|0.125|0.098|1.028|0.254|0.363|0.145|0|0|0.0316|1555|3082.3|14.9|294.5|20.02660|45.52111|0.3155|0.3007|0|0|0.02282|+0.01470|-0.00292|1382.47|1456.69|-490.63
7144.01|9203154|13.589|131.6953816|0.0052364|0.839902185|0.000005350|5.446970|1.47773|0.009693|0.000785|+0.001137|-0.000432|0.90|0.45|+0.81|-0.09|0.2097|0.2292|+0.2487|-0.2097|87.66|1.17080|0.18412|5120|164|181|146|4.478|0.327|0.088|0.566|0.797|0.093|0.126|0.060|0.853|0.425|0.763|0.088|0|0|0.0162|1639|115.5|15.3|11.2|18.94168|45.62805|0.5448|0.1716|0|0|4.33376|+2.35145|-4.14824|1705.12|5327.09|-483.53
7145.01|9205993|13.824|132.1241913|0.0020978|1.219736052|0.000001826|3.494325|0.01964|0.760077|0.002797|+0.003070|-0.002524|138.11|56.44|+86.57|-26.31|0.2260|0.0116|+0.0140|-0.0092|86.52|4.88513|0.00719|7367|282|229|336|4.162|0.234|0.111|0.358|1.464|0.299|0.316|0.283|1.664|0.680|1.043|0.317|0|0|0.0254|2630|615156.6|1080.5|419.0|19.04836|45.66643|0.2632|0.3137|0|0|0.54252|+0.00305|-0.00235|11313.83|22528.23|-5162.85
7146.01|9207508|12.481|132.1127601|0.0000416|2.015152481|0.000000098|3.383106|0.00375|0.734276|0.000996|+0.000498|-0.001494|132.22|56.73|+87.72|-25.74|0.3080|0.0028|+0.0014|-0.0041|84.80|8.17785|0.00820|6988|230|189|272|4.163|0.246|0.117|0.376|1.448|0.296|0.307|0.285|1.649|0.708|1.094|0.321|0|0|0.0353|2107|562706.5|374.9|1542.1|19.10633|45.69828|0.2574|0.3255|0|0|0.18038|+0.00020|-0.00038|4657.05|9680.73|-2080.15
7147.01|9210828|11.218|131.5813673|0.0001273|0.828206585|0.000000124|2.972028|0.17935|0.491817|0.055224|+0.066965|-0.043483|35.18|4.25|+5.53|-2.96|0.9289|0.0750|+0.0910|-0.0590|71.62|2.69713|0.00788|5033|143|152|134|4.611|0.070|0.058|0.082|0.638|0.066|0.098|0.033|0.655|0.079|0.103|0.055|0|0|0.0149|1472|119225.4|280.8|592.8|19.22964|45.61267|0.4548|0.2379|0|0|0.72400|+0.04369|-0.03006|1109.75|564.30|-273.82
7148.01|9221627|13.557|132.9925000|0.0|1.761374470|0.0|10.089704|0.00000|0.017200|0.000000|+0.0|0.0|2.18|0.84|+1.43|-0.25|0.0000|0.0000|+0.0|0.0|89.95|1.3589|0.0|6517|224|187|260|4.382|0.218|0.065|0.371|1.181|0.229|0.285|0.173|1.159|0.448|0.761|0.134|0|0|0.0302|1781|347.8|0.0|10.1|19.54480|45.67739|0.2925|0.3111|0|0|6.26310|+0.0|0.0|2377.67|4929.22|-797.49
7149.01|9236858|11.864|134.0051741|0.0000470|2.537081958|0.000000144|5.730320|0.01285|0.472934|0.000273|+0.000143|-0.000403|72.56|28.10|+43.02|-13.17|0.4548|0.0016|+0.0013|-0.0019|85.37|4.80248|0.00332|6731|196|150|243|4.251|0.223|0.110|0.335|1.291|0.253|0.276|0.230|1.405|0.544|0.833|0.255|0|0|0.0396|1769|242592.0|181.5|840.4|19.87476|45.65113|0.2754|0.3166|0|0|0.55300|+0.00124|-0.00144|2312.54|4095.78|-975.15
7150.01|9243795|11.045|139.3903779|0.0000940|14.443127944|0.000001629|13.012718|0.79710|1.016534|0.138893|+0.128916|-0.148869|390.85|197.04|+154.08|-239.99|1.7680|0.1453|+0.1319|-0.1587|81.93|8.30783|0.01584|5759|176|181|172|3.519|0.409|0.622|0.196|1.496|0.446|0.305|0.586|3.521|1.775|1.388|2.162|0|0|0.1328|1308|41960.8|36.3|3499.7|20.00842|45.63355|0.3553|0.2848|0|0|0.19982|+0.01224|-0.02221|692.04|830.41|-600.72
