koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K00085.01 1.216 1.188 1.242 1.389 1.345 1.434 6219.405 6174.522 6262.249 4.237 4.216 4.260 0.091 0.019 0.159 9.525 9.484 9.566 290.315 280.493 300.647 0.021 0.005 0.048 0.233 6169 50.0 4.236 0.022 0.09 0.08
K00085.02 1.216 1.187 1.242 1.389 1.345 1.435 6218.580 6173.064 6262.089 4.238 4.215 4.259 0.089 0.019 0.164 9.525 9.485 9.567 290.436 280.207 300.727 0.022 0.006 0.050 0.233 6169 50.0 4.236 0.022 0.09 0.08
K00085.03 1.217 1.189 1.242 1.390 1.347 1.435 6219.342 6174.436 6262.715 4.237 4.215 4.258 0.090 0.020 0.164 9.524 9.483 9.566 290.406 280.821 300.779 0.022 0.006 0.050 0.233 6169 50.0 4.236 0.022 0.09 0.08
K00087.01 0.897 0.866 0.926 0.935 0.904 0.968 5698.684 5660.759 5737.536 4.448 4.420 4.477 -0.208 -0.285 -0.132 9.847 9.738 9.931 217.606 209.955 225.481 0.028 0.008 0.064 0.187 5642 50.0 4.443 0.028 -0.27 0.08
K00088.01 1.008 0.911 1.938 1.056 0.887 91.875 5702.684 3984.561 5952.324 4.383 0.783 4.517 -0.210 -0.577 0.039 9.402 9.186 9.854 267.420 222.530 2756.064 0.157 0.052 0.318 0.761 nan nan nan nan nan nan
K00089.01 1.595 1.484 1.709 2.042 1.767 2.379 7068.155 7011.985 7128.044 4.018 3.914 4.121 -0.055 -0.146 0.033 9.162 9.121 9.215 736.134 636.669 856.924 0.010 0.002 0.025 1.316 6700 101.0 4.04 0.139 -0.2 0.12
K00089.02 1.597 1.485 1.708 2.053 1.763 2.388 7072.794 7013.981 7133.641 4.015 3.911 4.123 -0.057 -0.149 0.028 9.161 9.120 9.214 739.638 634.812 859.259 0.010 0.003 0.027 1.316 6700 101.0 4.04 0.139 -0.2 0.12
K00090.01 1.060 0.984 2.110 1.120 0.961 111.074 5814.074 3779.247 5940.037 4.357 0.674 4.479 -0.034 -0.321 0.153 9.449 9.171 9.791 275.570 235.492 2514.654 0.147 0.051 0.221 0.25 nan nan nan nan nan nan
K00092.01 1.080 1.042 1.115 1.076 1.019 1.152 6016.092 5953.249 6089.341 4.409 4.352 4.450 -0.003 -0.098 0.083 9.438 9.213 9.635 278.780 262.876 298.818 0.058 0.017 0.114 0.173 5918 111.0 4.403 0.065 -0.04 0.12
K00094.01 1.178 1.124 1.252 1.314 1.167 1.549 6206.512 6139.578 6296.794 4.268 4.149 4.363 0.010 -0.075 0.091 9.517 9.325 9.610 459.330 406.455 540.193 0.094 0.040 0.159 1.221 6181 98.0 4.234 0.13 -0.02 0.12
K00094.02 1.176 1.119 1.250 1.300 1.160 1.514 6211.946 6142.360 6298.917 4.279 4.168 4.368 0.013 -0.084 0.093 9.507 9.310 9.601 454.302 404.600 528.748 0.097 0.041 0.162 1.221 6181 98.0 4.234 0.13 -0.02 0.12
K00094.03 1.180 1.127 1.256 1.315 1.170 1.554 6210.019 6138.605 6297.904 4.268 4.149 4.362 0.012 -0.073 0.094 9.515 9.323 9.609 459.248 408.340 541.596 0.094 0.040 0.160 1.221 6181 98.0 4.234 0.13 -0.02 0.12
K00094.04 1.179 1.121 1.253 1.320 1.166 1.553 6209.570 6140.745 6296.260 4.266 4.148 4.363 0.007 -0.082 0.088 9.516 9.339 9.614 460.873 406.460 541.403 0.096 0.043 0.163 1.221 6181 98.0 4.234 0.13 -0.02 0.12
