,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K02128.01,1.0,0.0006572,0.002011,0.0,5.938e-05,4.862e-05,3.1807e-08,7.869e-07,0.0,1.3815e-07,0.001,4148.0,0.10987,0.3745,0.0,0.009281,0.2325,2.1721e-05,0.02135,0.0,0.002483,0.2369,0.7239,0.0,0.02141,0.01753,1.1299e-05,0.0002851,0.0,4.971e-05
K02129.01,0.00033278,2.1318e-07,1.23386e-08,1.01e-08,8.5502e-06,4.191629e-12,6.17137e-07,2.5163933e-07,0.0,0.02911,0.216,0.014308,0.0002921,2.55362e-05,0.000202,0.00076008,1.9837622e-08,0.000247724,0.0065531157,0.0,1.528,7.3942e-06,4.2177e-07,3.464e-07,0.00029483,1.4259639e-10,2.11928e-05,8.6113649e-06,0.0,0.9998
K02130.01,0.0004303,2.628e-06,6.276e-08,1.23e-07,7.925e-12,2.045e-09,1.7578e-12,1.6211e-09,0.0,0.006548,0.218,0.01867,0.002438,0.0001025,0.00247,3.023e-09,2.169e-05,1.7414e-09,5.663e-05,0.0,1.084,0.0004013,9.578e-06,1.884e-05,1.2059e-09,3.123e-07,2.687e-10,2.466e-07,0.0,1.0
K02131.01,0.0026953,1.4822e-07,2.3158e-09,1.06e-08,5.632e-05,1.9312785e-07,1.0955e-07,1.9406e-11,0.0,0.02104,0.161,0.08647,0.00021554,5.0114e-06,0.000212,0.006231,0.0021123336,5.317e-05,8.494e-07,0.0,1.67,7.067e-06,1.09777e-07,5.017e-07,0.002673,9.195307e-06,5.191e-06,9.19e-10,0.0,0.9974
K02132.01,0.02,1.356e-05,1.079e-05,6.48e-08,1.0502e-08,9.276e-07,9.62001e-12,1.2605e-08,0.0,0.001245,0.206,0.8372,0.03094,0.0528,0.0013,3.452e-06,0.01642,1.650101e-08,0.0014425,0.0,0.2907,0.010678,0.008509,5.107e-05,8.276e-06,0.0007315,7.57329e-09,9.921e-06,0.0,0.98
K02133.01,0.005618,9.3516e-17,2.88700158051e-95,0.0,0.00018368,8.65313e-07,0.0,2.98000383592e-51,0.0,0.03278,0.063,0.07133,6.8115e-13,4.47600244679e-91,0.0,0.04433,0.00443946,0.0,2.41000232778e-46,0.0,1.192,2.74951e-15,8.08000464168e-94,0.0,0.005591,2.614407e-05,0.0,8.69001109323e-50,0.0,0.9944
K02134.01,0.00848,2.929e-08,1.1471e-09,2.38e-07,3.001e-06,3.7116e-09,1.0878e-07,6.093e-10,0.0,0.0003959,0.183,0.3108,6.992e-05,5.033e-06,0.00475,0.0004834,3.1617e-05,8.373e-05,2.7147e-05,0.0,0.05747,7.329e-05,2.873e-06,0.0005952,0.007521,9.28428e-06,0.0002726,1.5268e-06,0.0,0.9916
K02135.01,0.00010269,2.0713e-08,7.441e-17,3.81e-08,9.328e-11,2.17202e-15,4.2102e-17,3.25700000088e-09,0.0,0.0006071,0.21,0.004289,5.3057e-05,5.777e-13,0.000762,1.857e-08,3.96815e-11,4.0199e-14,0.000304000000095,0.0,0.09996,3.4194e-05,1.215e-13,6.291e-05,1.53e-07,3.59039e-12,6.926e-14,5.39400000142e-06,0.0,1.0
K02135.02,0.0005167,1.6826e-06,9.652e-08,5.87e-08,1.1092e-11,3.5839e-08,9.8146452e-16,3.077e-10,0.0,0.003626,0.133,0.013648,0.0007268,5.741e-05,0.00117,1.811e-09,0.000341018,7.6152348e-13,2.628e-05,0.0,0.5502,0.0004639,2.666e-05,1.616e-05,3.0514e-09,9.8869e-06,2.7236423e-13,8.471e-08,0.0,0.9995
K02135.03,7.507e-05,3.9935e-08,1.452072e-11,1.85e-07,1.48400000024e-15,2.858e-13,4.1264e-27,5.2296e-12,0.0,0.002998,0.138,0.002058,7.6328e-05,3.134284e-08,0.00369,1.10290000018e-13,1.7731e-09,1.7514e-24,2.4455e-07,0.0,0.242,1.33293e-05,4.813686e-09,6.171e-05,4.98000000086e-13,9.569e-11,1.3727e-24,1.7421e-09,0.0,1.0
