koi has_ttv
K00612.02 False 
K00612.03 False 
K00613.01 False 
K00614.01 False 
K00615.01 False 
K00616.01 False 
K00617.01 False 
K00618.01 False 
K00619.01 False 
K00620.01 True 
K00620.02 True 
K00620.03 True 
K00621.01 False 
K00622.01 False 
K00623.01 False 
K00623.02 False 
K00623.03 False 
K00623.04 False 
K00624.01 False 
K00624.02 False 
K00624.03 False 
K00625.01 False 
K00626.01 False 
K00626.02 False 
K00627.01 False 
K00627.02 False 
K00628.01 False 
K00629.01 False 
K00630.01 False 
K00631.01 False 
K00632.01 False 
K00633.01 False 
K00634.01 False 
K00635.01 False 
K00636.01 False 
K00637.01 False 
K00638.01 True 
K00638.02 True 
K00639.01 False 
K00640.01 False 
K00641.01 False 
K00642.01 False 
K00643.01 False 
K00644.01 False 
K00645.01 False 
K00645.02 False 
K00646.01 True 
K00647.01 False 
K00647.02 False 
K00648.01 False 
K00649.01 False 
K00649.02 False 
K00650.01 False 
K00651.01 False 
K00652.01 False 
K00653.01 False 
K00654.01 False 
K00654.02 False 
K00655.01 False 
K00655.02 False 
K00656.01 False 
K00657.01 False 
K00657.02 False 
K00658.01 False 
K00658.02 False 
K00658.03 False 
K00659.01 False 
K00660.01 False 
K00661.01 False 
K00661.02 False 
K00662.01 False 
K00663.01 False 
K00663.02 False 
K00664.01 False 
K00664.02 False 
K00664.03 False 
K00665.01 False 
K00665.02 False 
K00665.03 False 
K00666.01 False 
K00667.01 False 
K00668.01 False 
K00669.01 False 
K00670.01 False 
K00671.01 False 
K00671.02 False 
K00671.03 False 
K00671.04 False 
K00672.01 True 
K00672.02 True 
K00672.03 True 
K00673.01 False 
K00674.01 False 
K00675.01 False 
K00676.01 True 
K00676.02 True 
K00677.01 False 
K00678.01 False 
K00678.02 False 
K00679.01 False 
K00679.02 False 
K00680.01 False 
K00681.01 False 
K00683.01 False 
K00684.01 False 
K00685.01 False 
K00686.01 False 
K00687.01 False 
K00688.01 False 
K00689.01 False 
K00690.01 False 
K00691.01 False 
K00691.02 False 
K00692.01 False 
K00692.02 False 
K00693.01 False 
K00693.02 False 
K00694.01 False 
K00695.01 False 
K00696.01 False 
K00697.01 False 
K00698.01 False 
K00699.01 False 
K00700.01 False 
K00700.02 False 
K00700.03 False 
K00700.04 False 
K00701.01 False 
K00701.02 False 
K00701.03 False 
K00701.04 False 
K00701.05 False 
K00702.01 False 
K00703.01 False 
K00704.01 False 
K00705.01 False 
K00706.01 False 
K00707.01 True 
K00707.02 True 
K00707.03 True 
K00707.04 True 
K00707.05 nan
K00708.01 False 
K00708.02 False 
K00709.01 True 
K00710.01 False 
K00710.02 False 
K00710.03 False 
K00711.01 False 
K00711.02 False 
K00711.03 False 
K00712.01 False 
K00713.01 False 
K00714.01 False 
K00715.01 False 
K00716.01 False 
K00717.01 False 
K00717.02 False 
K00718.01 False 
K00718.02 False 
K00718.03 False 
K00719.01 False 
K00719.02 False 
K00719.03 False 
K00719.04 False 
K00720.01 False 
K00720.02 False 
K00720.03 False 
K00720.04 False 
K00721.01 False 
K00722.01 False 
K00723.01 False 
K00723.02 False 
K00723.03 False 
K00724.01 False 
K00725.01 False 
K00726.01 False 
K00727.01 False 
K00728.01 False 
K00729.01 False 
K00730.01 True 
K00730.02 True 
K00730.03 True 
K00730.04 True 
K00731.01 nan
K00732.01 False 
K00732.02 False 
K00732.03 False 
K00733.01 False 
K00733.02 False 
K00733.03 False 
K00733.04 False 
K00734.01 True 
K00734.02 True 
K00735.01 False 
K00736.01 False 
K00736.02 False 
K00737.01 True 
K00738.01 True 
K00738.02 True 
K00739.01 False 
K00740.01 False 
K00741.01 False 
K00742.01 nan
K00743.01 False 
K00744.01 False 
K00744.02 False 
K00745.01 False 
K00746.01 True 
K00747.01 False 
K00748.01 False 
K00749.01 False 
K00749.02 False 
K00749.03 False 
K00750.01 False 
K00750.02 False 
K00750.03 False 
K00751.01 False 
K00752.01 False 
K00752.02 False 
K00753.01 False 
K00754.01 False 
K00755.01 False 
K00756.01 False 
K00756.02 False 
K00756.03 False 
K00757.01 True 
K00757.02 True 
K00757.03 True 
K00758.01 False 
K00759.01 True 
K00759.02 False 
K00760.01 True 
K00761.01 False 
K00762.01 False 
K00763.01 False 
K00764.01 False 
K00765.01 False 
K00766.01 False 
K00767.01 False 
K00768.01 False 
K00769.01 False 
K00770.01 False 
K00771.01 False 
K00772.01 False 
K00773.01 False 
K00774.01 True 
K00775.01 True 
K00775.02 True 
K00775.03 True 
K00776.01 False 
K00777.01 False 
K00778.01 False 
K00779.01 False 
K00780.01 False 
K00780.02 False 
K00781.01 False 
K00782.01 False 
K00783.01 False 
K00784.01 True 
K00784.02 True 
K00785.01 False 
K00786.01 False 
K00787.01 False 
K00787.02 False 
K00787.03 False 
K00788.01 False 
K00790.01 False 
K00790.02 False 
K00791.01 False 
K00792.01 False 
K00793.01 False 
K00794.01 False 
K00795.01 False 
K00796.01 False 
K00797.01 False 
K00798.01 False 
K00799.01 False 
K00800.01 False 
K00800.02 False 
K00801.01 False 
K00802.01 False 
K00803.01 False 
K00804.01 False 
K00805.01 False 
K00806.01 True 
K00806.02 True 
K00807.01 False 
K00808.01 False 
K00809.01 False 
K00810.01 False 
K00811.01 False 
K00812.01 False 
K00812.02 False 
K00812.03 False 
K00812.04 False 
K00813.01 False 
K00814.01 False 
K00815.01 False 
K00816.01 False 
K00817.01 False 
K00817.02 False 
K00818.01 False 
K00819.01 False 
K00820.01 False 
K00821.01 False 
K00822.01 False 
K00824.01 False 
K00825.01 False 
K00825.02 False 
K00826.01 False 
K00827.01 False 
K00828.01 False 
K00829.01 False 
K00829.02 False 
K00829.03 False 
K00830.01 False 
K00831.01 False 
K00832.01 False 
K00833.01 False 
K00834.01 False 
K00834.02 False 
K00834.03 False 
K00834.04 False 
K00834.05 False 
K00835.01 False 
K00835.02 False 
K00836.01 False 
K00837.01 False 
K00837.02 False 
K00838.01 False 
K00839.01 False 
K00840.01 False 
K00841.01 False 
K00841.02 False 
K00841.03 False 
K00841.04 False 
K00841.05 False 
K00842.01 False 
K00842.02 False 
K00843.01 False 
K00844.01 False 
K00845.01 False 
K00846.01 False 
K00847.01 False 
K00848.01 False 
K00849.01 False 
K00850.01 False 
K00851.01 False 
K00852.01 False 
K00853.01 False 
K00853.02 False 
K00854.01 False 
K00855.01 False 
K00856.01 False 
K00857.01 False 
K00857.02 False 
K00858.01 False 
