,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K03482.01,PROB,UKIRT 44117913181453,0.3,0.29,7.847e-05,293.7646,1761494.0,KIC 7288444,0.043,0.22,1.15e-05,0.043,0.057,0.8,142.5237,42.8292,15.33,UKIRT,dr25,0.29,KIC,1.532e-05,42.8295,1464.0,168.0,293.7674,19.67,15.1
K03483.01,PROB,KIC 3101923,0.92,0.079,0.0002494,287.3227,1340.0,hiresKIC 22000043,0.057,0.18,1.326e-05,0.012,0.057,0.86,133.1924,38.2801,82.32,KIC,dr25,0.92,hiresKIC,1.016e-05,38.2797,9889.0,253.0,287.3229,14.87,17.02
K03484.01,PROB,KIC 10881457,0.96,0.025,0.0002211,298.9591,3835.0,KIC 10881450,0.022,0.82,4.41e-06,0.0036,0.022,0.79,152.182,48.2563,84.7,KIC,dr25,0.96,KIC,1.724e-05,48.2578,210045.0,631.0,298.9569,15.17,16.71
K03485.01,MATCH,KIC 5471289,0.97,0.027,0.0005507,297.6112,1204.0,UKIRT 44117917612724,0.021,0.01,1.006e-05,0.0018,0.021,0.69,141.4965,40.6514,12.43,KIC,dr25,0.97,UKIRT,2.572e-05,40.6508,13660.0,230.0,297.6115,14.94,17.4
K03486.01,PROB,KIC 8121328,0.86,0.11,0.0003226,298.8206,932.0,UKIRT 44117910924441,0.027,0.22,8.567e-06,0.0072,0.027,0.72,145.7378,43.9097,19.07,KIC,dr25,0.86,UKIRT,1.847e-05,43.9099,46353.0,148.0,298.8191,14.37,18.37
K03487.01,FAILED,,,,,,,,,0.0,,,,0.8,,,,,dr25,,,,,,,,,
K03488.01,PROB,KIC 6021655,0.75,0.2,0.0002674,283.4259,1214.0,KIC 6021656,0.025,0.01,7.444e-06,0.0092,0.025,0.91,186.4512,41.3265,63.57,KIC,dr25,0.75,KIC,8.482e-06,41.3255,51965.0,261.0,283.4261,15.63,19.11
K03489.01,PROB,KIC 9528430,1.0,8.8e-102,5.75e-07,292.6636,15423.0,KIC 9528423,0.0076,1.0,3.785e-09,5.8e-104,0.0076,0.85,173.9876,46.1152,90.08,KIC,dr25,1.0,KIC,6.57e-06,46.1149,663146.0,43412.0,292.6613,12.96,16.71
K03490.01,PROB,UKIRT 44117909835477,1.0,2.2e-58,3.467e-06,290.8054,2859193.0,KIC 8882847,7.3e-58,1.0,5.62e-08,7.3e-58,0.019,0.87,172.4375,45.1698,42.2,UKIRT,dr25,2.2e-58,KIC,6.325e-06,45.1693,1083.0,181.0,290.8034,21.81,13.29
K03491.01,PROB,KIC 12164634,1.0,,3.815e-07,294.3226,322787.0,,0.00041,1.0,1.367e-10,,0.00041,0.87,142.3168,,89.33,KIC,dr25,1.0,,6.664e-06,50.7417,,59114.0,,13.68,
K03492.01,PROB,KIC 5193079,4.6e-17,9.3e-96,1.0,293.5724,246864.0,KIC 5193077,1.3e-109,1.0,1.414e-14,1.3e-109,4.7e-18,0.78,146.4613,40.3578,22.29,KIC,dr25,9.3e-96,KIC,1.071e-05,40.3599,720.0,91.0,293.5721,17.94,13.03
K03493.01,PROB,KIC 8880123,0.99,0.013,0.0001316,289.8288,1598.0,UKIRT 44117909388801,0.01,0.38,1.169e-06,0.0012,0.01,0.88,145.5013,45.1031,46.72,KIC,dr25,0.99,UKIRT,9.936e-06,45.1028,1192391.0,341.0,289.827,15.22,21.53
K03494.01,PROB,KIC 8231667,1.0,0.0021,6.657e-05,291.1988,9987.0,UKIRT 44117911229765,0.013,0.32,7.444e-07,0.0002,0.013,0.85,156.0644,44.1666,42.88,KIC,dr25,1.0,UKIRT,1.338e-05,44.1662,2516829.0,1018.0,291.1978,15.65,21.66
K03495.01,PROB,KIC 9474756,0.91,0.093,0.0003236,295.5537,1386.0,KIC 9474750,0.018,0.22,5.647e-06,0.011,0.018,0.81,147.1903,46.03,17.61,KIC,dr25,0.91,KIC,1.473e-05,46.0291,157277.0,125.0,295.5519,15.13,18.91
K03495.02,PROB,KIC 9474756,1.0,0.0012,0.0006289,295.5537,673.0,KIC 9474750,0.041,0.05,2.253e-05,8.8e-05,0.041,0.81,132.3647,46.03,6.68,KIC,dr25,1.0,KIC,1.473e-05,46.0291,97881.0,94.0,295.5519,15.13,18.91
K03496.01,PROB,KIC 7517261,1.0,,4.419e-05,288.4212,788.0,,0.026,0.92,9.805e-07,,0.026,0.88,143.5381,,23.24,KIC,dr25,1.0,,6.712e-06,43.1798,,175.0,,13.93,
K03496.02,PROB,KIC 7517261,1.0,,0.000155,288.4212,510.0,,0.021,0.85,2.849e-06,,0.021,0.88,137.9893,,8.54,KIC,dr25,1.0,,6.712e-06,43.1798,,68.0,,13.93,
K03497.01,PROB,KIC 8424002,0.68,0.32,7.329e-06,289.2745,2451.0,hiresKIC 22000552,0.0071,1.0,6.827e-08,0.0073,0.0071,0.88,134.2904,44.4701,20.36,KIC,dr25,0.68,hiresKIC,5.935e-06,44.4703,7642.0,334.0,289.2745,13.39,14.62
K03498.01,MATCH,KIC 8635938,1.0,0.00021,0.0001366,295.8238,1196.0,UKIRT 44117909644320,0.015,0.78,1.772e-06,1.6e-05,0.015,0.79,158.8659,44.797,43.8,KIC,dr25,1.0,UKIRT,9.624e-06,44.7959,2370560.0,201.0,295.8254,12.96,21.1
K03499.01,MATCH,,,,,,,,0.0,1.0,,,,0.69,,,,,dr25,0.0,,,,,,,,
K03499.02,FAILED,,,,,,,,,0.0,,,,0.69,,,,,dr25,,,,,,,,,
K03500.01,PROB,KIC 6058816,0.82,0.12,0.0001144,296.3546,732.0,UKIRT 44117915385864,0.024,1.0,2.877e-06,0.0054,0.024,0.73,188.5218,41.3351,73.75,KIC,dr25,0.82,UKIRT,1.384e-05,41.3356,28768.0,230.0,296.3553,13.21,17.03
K03500.02,PROB,KIC 6058816,0.55,0.23,0.0002081,296.3546,247.0,UKIRT 44117915385864,0.0082,0.05,2.646e-06,0.006,0.0082,0.73,135.7954,41.3351,4.75,KIC,dr25,0.55,UKIRT,1.384e-05,41.3356,9562.0,33.0,296.3553,13.21,17.03
K03501.01,FAILED,,,,,,,,,0.0,,,,0.82,,,,,dr25,,,,,,,,,
K03502.01,MATCH,KIC 5385471,1.0,4.9e-20,0.001186,297.5949,2276.0,UKIRT 44117917612159,0.072,0.0,7.392e-05,2e-19,0.072,0.69,141.4972,40.594,12.43,KIC,dr25,1.0,UKIRT,3.844e-05,40.5941,846695.0,881.0,297.5972,15.99,19.88
K03503.01,PROB,KIC 6368175,1.0,0.00054,0.0001309,293.1508,359.0,UKIRT 44117914670377,0.028,0.67,3.225e-06,4e-05,0.028,0.8,148.8444,41.7299,21.19,KIC,dr25,1.0,UKIRT,1.072e-05,41.7293,506075.0,63.0,293.1492,13.83,21.14
K03503.02,PROB,KIC 6368175,1.0,0.0002,0.0003611,293.1508,461.0,UKIRT 44117914670377,0.046,0.01,1.441e-05,7e-05,0.046,0.8,144.5452,41.7299,31.82,KIC,dr25,1.0,UKIRT,1.072e-05,41.7293,655473.0,58.0,293.1492,13.83,21.14
K03504.01,MATCH,KIC 5471158,0.7,0.3,0.0007054,297.5798,1726.0,UKIRT 44117917611431,0.036,0.02,2.965e-05,0.015,0.036,0.69,141.5493,40.6028,12.43,KIC,dr25,0.7,UKIRT,3.469e-05,40.603,116331.0,389.0,297.5784,15.72,19.61
K03504.02,PROB,UKIRT 44117917611431,0.55,0.45,0.0006438,297.5784,112701.0,KIC 5471158,0.01,0.0,1.135e-05,0.01,0.012,0.69,217.3362,40.603,140.24,UKIRT,dr25,0.45,KIC,3.469e-05,40.6028,1256.0,309.0,297.5798,19.61,15.72
K03505.01,MATCH,,,,,,,,0.0,1.0,,,,0.74,,,,,dr25,0.0,,,,,,,,
K03506.01,PROB,KIC 8719419,1.0,,9.831e-07,301.146,233978.0,,0.0017,1.0,1.446e-09,,0.0017,0.69,140.0608,,12.63,KIC,dr25,1.0,,1.663e-05,44.8697,,37845.0,,12.93,
K03507.01,PROB,KIC 8308682,8.1e-36,,1.0,294.9993,816.0,,1.1e-49,0.0,1.414e-14,,1.1e-49,0.8,263.5198,,338.19,KIC,dr25,8.1e-36,,1.899e-05,44.2135,,459.0,,15.65,
K03508.01,PROB,UKIRT 44117913787756,0.88,0.0069,0.1116,293.6264,761410.0,KIC 6697817,8.8e-18,0.0,1.124e-15,8.8e-18,1.1e-15,0.8,236.0857,42.1296,190.8,UKIRT,dr25,0.0069,KIC,1.238e-05,42.1314,673.0,290.0,293.6236,18.78,14.32
K03509.01,MATCH,KIC 3439096,1.0,,0.001549,290.1488,1660.0,,0.064,0.0,8.616e-05,,0.064,0.82,132.9607,,2.98,KIC,dr25,1.0,,9.725e-06,38.5133,,211.0,,13.8,
K03510.01,PROB,KIC 9028474,1.0,,4.169e-07,294.1595,964793.0,,0.00059,1.0,2.148e-10,,0.00059,0.83,177.6823,,124.94,KIC,dr25,1.0,,7.178e-06,45.3759,,243052.0,,12.34,
K03511.01,FAILED,,,,,,,,,0.0,,,,0.8,,,,,dr25,,,,,,,,,
K03512.01,PROB,KIC 6182849,1.0,,7.998e-07,283.074,2639166.0,,0.014,1.0,9.715e-09,,0.014,0.92,134.707,,6.4,KIC,dr25,1.0,,4.742e-06,41.5409,,375631.0,,13.72,
K03513.01,MATCH,,,,,,,,0.0,1.0,,,,0.77,,,,,dr25,0.0,,,,,,,,
K03514.01,FAILED,,,,,,,,,0.0,,,,0.84,,,,,dr25,,,,,,,,,
K03515.01,PROB,KIC 3240159,1.0,,6.728e-07,292.7132,1157039.0,,0.0025,1.0,1.461e-09,,0.0025,0.77,196.1226,,82.14,KIC,dr25,1.0,,1.031e-05,38.3697,,208619.0,,12.26,
K03516.01,PROB,KIC 9658118,1.0,,9.9e-07,295.366,1280203.0,,6.9e-16,1.0,9.917e-21,,6.9e-16,0.82,138.3596,,24.06,KIC,dr25,1.0,,1.048e-05,46.3772,,260962.0,,14.16,
K03517.01,PROB,KIC 7132542,1.0,,1.241e-05,295.8852,1510809.0,,0.021,1.0,2.223e-07,,0.021,0.76,185.8472,,66.36,KIC,dr25,1.0,,2.092e-05,42.6219,,405637.0,,15.33,
K03518.01,PROB,,,,1.87e-06,,,,0.016,1.0,2.638e-08,,,0.69,133.0124,,4.47,,dr25,1.0,,1.924e-05,,,321027.0,,,
K03520.01,PROB,KIC 3757590,1.0,,4.057e-07,294.1437,781108.0,,8.6e-05,1.0,3.018e-11,,8.6e-05,0.74,177.9224,,135.59,KIC,dr25,1.0,,1.414e-05,38.8774,,367557.0,,13.67,
K03521.01,PROB,KIC 5456023,1.0,,4.328e-07,294.0362,752604.0,,0.00082,1.0,3.058e-10,,0.00082,0.77,179.5843,,131.98,KIC,dr25,1.0,,1.426e-05,40.6592,,345710.0,,14.31,
K03522.01,PROB,KIC 12021387,1.0,,2.063e-05,295.9108,140875.0,,2.1e-19,0.94,2.063e-19,,2.1e-19,0.85,223.9932,,241.07,KIC,dr25,1.0,,4.489e-06,50.4098,,70595.0,,10.66,
K03523.01,PROB,KIC 8044608,1.0,,8.295e-07,296.904,822358.0,,0.0034,1.0,2.418e-09,,0.0034,0.76,234.641,,106.18,KIC,dr25,1.0,,1.314e-05,43.8239,,164548.0,,13.74,
K03524.01,PROB,KIC 8760135,1.0,,9.369e-07,294.3713,1091458.0,,4.6e-05,1.0,3.695e-11,,4.6e-05,0.82,151.9888,,184.64,KIC,dr25,1.0,,1.672e-05,44.9248,,424553.0,,15.6,
K03525.01,FAILED,,,,,,,,,0.0,,,,0.71,,,,,dr25,,,,,,,,,
K03526.01,PROB,KIC 10292238,1.0,,9.768e-08,298.0774,487222.0,,3.5e-16,1.0,9.772e-22,,3.5e-16,0.79,245.5392,,143.12,KIC,dr25,1.0,,1.607e-05,47.3466,,244088.0,,15.0,
K03527.01,PROB,KIC 8733497,1.0,,2.678e-07,282.0009,1025494.0,,0.00063,1.0,1.465e-10,,0.00063,0.93,188.1257,,76.82,KIC,dr25,1.0,,4.566e-06,44.9608,,227848.0,,14.06,
K03528.01,PROB,KIC 4255422,1.0,,2.092e-07,289.6971,145878.0,,0.00032,1.0,5.83e-11,,0.00032,0.83,141.5762,,165.41,KIC,dr25,1.0,,7.239e-06,39.3716,,66123.0,,12.72,
K03529.01,PROB,KIC 9837544,1.0,,0.0002715,294.4864,2544509.0,,0.05,0.28,1.187e-05,,0.05,0.83,172.9162,,71.66,KIC,dr25,1.0,,1.299e-05,46.6761,,325293.0,,15.17,
K03530.01,FAILED,,,,,,,,,0.0,,,,0.9,,,,,dr25,,,,,,,,,
K03531.01,PROB,KIC 6947164,1.0,,5.997e-07,291.357,890527.0,,2.4e-05,1.0,1.224e-11,,2.4e-05,0.84,190.4995,,70.58,KIC,dr25,1.0,,1.071e-05,42.4936,,149165.0,,14.62,
K03532.01,PROB,KIC 10748621,1.0,0.0,2.325e-06,297.7728,345825.0,KIC 10748624,8.2e-16,1.0,2.331e-20,1.1e-116,8.2e-16,0.8,403.8461,48.0964,286.18,KIC,dr25,1.0,KIC,1.553e-05,48.0981,2096932.0,275292.0,297.7734,15.14,16.39
K03533.01,PROB,KIC 4824268,1.0,,6.189e-07,288.2829,100510.0,,0.0049,1.0,2.63e-09,,0.0049,0.86,215.0157,,152.15,KIC,dr25,1.0,,9.339e-06,39.9922,,151222.0,,14.61,
K03534.01,PROB,KIC 6431670,1.0,,1.678e-06,287.8848,2578751.0,,0.015,1.0,2.224e-08,,0.015,0.87,153.5929,,29.91,KIC,dr25,1.0,,1.323e-05,41.8794,,358289.0,,16.13,
K03535.01,FAILED,,,,,,,,,0.0,,,,0.77,,,,,dr25,,,,,,,,,
K03536.01,PROB,KIC 7987086,1.0,,1.083e-06,299.6642,340284.0,,0.0076,1.0,7.088e-09,,0.0076,0.7,278.1375,,156.52,KIC,dr25,1.0,,1.651e-05,43.763,,112777.0,,13.38,
K03537.01,FAILED,,,,,,,,,0.0,,,,0.78,,,,,dr25,,,,,,,,,
K03538.01,PROB,KIC 8668810,1.0,,5.091e-08,281.7179,1015333.0,,4.1e-16,1.0,5.094e-22,,4.1e-16,0.94,424.7156,,313.09,KIC,dr25,1.0,,7.17e-06,44.874,,441447.0,,15.64,
K03539.01,PROB,KIC 8868907,1.0,,4.596e-07,284.5137,478492.0,,0.0039,1.0,1.57e-09,,0.0039,0.92,265.2562,,157.32,KIC,dr25,1.0,,7.281e-06,45.1203,,119013.0,,15.29,
K03540.01,PROB,KIC 3865298,4.8e-96,,1.0,295.232,1473914.0,,6.8e-110,1.0,1.414e-14,,6.8e-110,0.72,138.2316,,9.53,KIC,dr25,4.8e-96,,2.076e-05,38.9259,,296192.0,,14.69,
K03541.01,PROB,KIC 8868364,1.0,1e-103,4.845e-09,284.2572,96926.0,KIC 8868365,7.3e-16,1.0,4.855e-23,6.6e-119,7.3e-16,0.92,262.2889,45.1223,421.43,KIC,dr25,1.0,KIC,4.632e-06,45.1187,2619955.0,96819.0,284.2574,13.77,17.35
K03542.01,FAILED,,,,,,,,,0.0,,,,0.75,,,,,dr25,,,,,,,,,
K03543.01,PROB,KIC 9656397,1.0,,6.651e-07,294.7093,926051.0,,0.0056,1.0,3.25e-09,,0.0056,0.83,306.9808,,204.74,KIC,dr25,1.0,,9.158e-06,46.3847,,386473.0,,13.84,
K03544.01,FAILED,,,,,,,,,0.0,,,,0.85,,,,,dr25,,,,,,,,,
K03545.01,PROB,,,,1.4e-06,,,,0.0033,1.0,3.963e-09,,,0.79,132.0985,,1.09,,dr25,1.0,,2.191e-05,,,393924.0,,,
K03546.01,PROB,KIC 7287391,1.0,,9.191e-07,293.4636,1648883.0,,0.0007,1.0,5.574e-10,,0.0007,0.81,134.5921,,4.29,KIC,dr25,1.0,,1.585e-05,42.8841,,171675.0,,15.29,
K03547.01,PROB,KIC 6756202,1.0,,3.957e-07,283.8986,554796.0,,2e-20,1.0,3.957e-21,,2e-20,0.91,393.511,,290.78,KIC,dr25,1.0,,5.67e-06,42.3,,226208.0,,14.28,
K03548.01,PROB,KIC 10215869,1.0,,2.836e-05,294.9237,1200490.0,,3.4e-16,1.0,2.837e-19,,3.4e-16,0.83,134.4905,,5.02,KIC,dr25,1.0,,9.451e-06,47.25,,144524.0,,14.12,
K03549.01,PROB,KIC 2307206,0.99,0.012,1.069e-05,292.3762,653890.0,KIC 2307212,8.1e-16,0.97,1.071e-19,8.7e-18,8.1e-16,0.76,253.5436,37.6545,204.03,KIC,dr25,0.99,KIC,2.401e-05,37.6575,1708827.0,416204.0,292.3773,15.73,16.86
K03550.01,PROB,,,,1.62e-06,,,,0.015,1.0,2.149e-08,,,0.86,131.6903,,1.07,,dr25,1.0,,1.288e-05,,,461813.0,,,
K03551.01,PROB,KIC 7620844,1.0,,1.477e-06,295.6104,1004583.0,,0.0049,1.0,6.213e-09,,0.0049,0.78,178.5673,,58.62,KIC,dr25,1.0,,1.824e-05,43.2604,,142475.0,,15.16,
K03552.01,PROB,KIC 6233466,1.0,,0.0003407,299.0473,2309432.0,,0.074,0.03,2.197e-05,,0.074,0.67,143.8598,,15.87,KIC,dr25,1.0,,2.551e-05,41.5381,,200719.0,,14.68,
K03553.01,PROB,KIC 11249624,1.0,,8.339e-07,294.4386,1562716.0,,0.0018,1.0,1.319e-09,,0.0018,0.85,182.6495,,65.58,KIC,dr25,1.0,,1.358e-05,48.9852,,241557.0,,15.74,
K03554.01,PROB,KIC 6426592,1.0,,5.01e-08,285.6016,447030.0,,3.5e-16,1.0,5.012e-22,,3.5e-16,0.9,346.1383,,394.68,KIC,dr25,1.0,,8.409e-06,41.8175,,255633.0,,15.21,
K03555.01,PROB,KIC 8491745,1.0,,3.102e-07,290.5116,18670.0,,0.00021,1.0,5.589e-11,,0.00021,0.86,226.6485,,111.32,KIC,dr25,1.0,,5.466e-06,44.556,,62687.0,,12.44,
K03556.01,PROB,KIC 3970117,1.0,,1.8e-06,295.462,400774.0,,0.0061,1.0,9.489e-09,,0.0061,0.72,235.7508,,110.3,KIC,dr25,1.0,,2.585e-05,39.0844,,175681.0,,15.26,
K03557.01,PROB,KIC 5534965,1.0,,2.893e-08,292.2604,112249.0,,0.00034,1.0,8.587e-12,,0.00034,0.8,159.4958,,243.82,KIC,dr25,1.0,,9.468e-06,40.7037,,56635.0,,13.3,
K03558.01,PROB,KIC 9965206,1.0,,2.253e-06,297.1904,1778209.0,,0.009,1.0,1.76e-08,,0.009,0.8,136.6397,,16.23,KIC,dr25,1.0,,2.107e-05,46.8265,,191397.0,,15.9,
K03559.01,PROB,KIC 4247023,1.0,,3.68e-06,286.8485,720786.0,,5.7e-16,1.0,3.685e-20,,5.7e-16,0.87,148.0449,,47.19,KIC,dr25,1.0,,1.176e-05,39.3049,,335700.0,,15.62,
K03560.01,PROB,,,,7.142e-07,,,,0.0011,1.0,6.708e-10,,,0.74,131.5379,,1.5,,dr25,1.0,,1.179e-05,,,405956.0,,,
K03561.01,PROB,KIC 11403216,1.0,3.3e-66,1.366e-06,292.0269,1010616.0,KIC 11403214,0.0062,1.0,7.341e-09,1.3e-67,0.0062,0.88,134.745,49.2051,4.05,KIC,dr25,1.0,KIC,1.054e-05,49.2072,2514240.0,109512.0,292.0262,15.54,16.55
K03562.01,PROB,KIC 9948002,1.0,,4.094e-07,290.4253,197815.0,,0.00016,1.0,5.724e-11,,0.00016,0.88,214.1251,,101.26,KIC,dr25,1.0,,7.27e-06,46.8899,,72774.0,,14.32,
K03563.01,PROB,KIC 5264304,1.0,,3.938e-06,288.4508,1452973.0,,0.028,1.0,9.49e-08,,0.028,0.86,248.2387,,120.58,KIC,dr25,1.0,,1.343e-05,40.4325,,195493.0,,15.78,
K03564.01,FAILED,,,,,,,,,0.0,,,,0.94,,,,,dr25,,,,,,,,,
K03565.01,FPWG,,,,,,,,0.0,1.0,,,,0.84,,,,,dr25,0.0,,,,,,,,
K03566.01,PROB,KIC 7898576,0.0,,1.0,294.3886,1731653.0,,1.3e-109,1.0,1.414e-14,,1.3e-109,0.8,135.3097,,4.32,KIC,dr25,0.0,,1.129e-05,43.6905,,219714.0,,14.1,
K03567.01,PROB,KIC 11671429,1.0,,1.175e-05,296.4534,135920.0,,0.054,1.0,5.543e-07,,0.054,0.84,197.5579,,112.46,KIC,dr25,1.0,,5.275e-06,49.7865,,244235.0,,10.97,
K03568.01,FAILED,,,,,,,,,0.0,,,,0.85,,,,,dr25,,,,,,,,,
K03569.01,PROB,KIC 6707942,1.0,4.3e-28,2.357e-05,296.0576,413008.0,UKIRT 44117913370335,0.048,1.0,9.702e-07,6e-29,0.048,0.75,131.55,42.1107,9.01,KIC,dr25,1.0,UKIRT,1.331e-05,42.1109,1095578.0,34158.0,296.0578,13.57,14.87
K03570.01,PROB,KIC 5023948,1.0,,7.149e-05,295.241,1880243.0,,0.037,0.41,2.268e-06,,0.037,0.74,132.8769,,1.82,KIC,dr25,1.0,,2.139e-05,40.1576,,179972.0,,15.05,
K03571.01,PROB,KIC 5113053,1.0,,1.728e-06,295.3914,2719692.0,,4.9e-16,1.0,1.729e-20,,4.9e-16,0.74,131.6985,,1.59,KIC,dr25,1.0,,2.577e-05,40.2168,,371340.0,,15.52,
K03572.01,FAILED,,,,,,,,,0.0,,,,0.82,,,,,dr25,,,,,,,,,
K03573.01,PROB,KIC 10068919,1.0,,3.375e-07,289.2642,334871.0,,0.0027,1.0,8.008e-10,,0.0027,0.89,153.2709,,43.56,KIC,dr25,1.0,,5.659e-06,47.006,,50988.0,,13.68,
K03574.01,PROB,UKIRT 44117912330316,1.0,3.7e-65,1.831e-06,289.0247,965716.0,KIC 7353970,1.7e-65,1.0,4.452e-08,1.7e-65,0.028,0.87,155.6156,42.9359,198.44,UKIRT,dr25,3.7e-65,KIC,6.815e-06,42.9364,136530.0,39392.0,289.0249,15.95,13.76
K03575.01,PROB,,,,1.015e-06,,,,0.0051,1.0,4.481e-09,,,0.85,139.7457,,17.91,,dr25,1.0,,1.534e-05,,,260365.0,,,
K03576.01,FAILED,,,,,,,,,0.0,,,,0.78,,,,,dr25,,,,,,,,,
K03577.01,PROB,KIC 9785454,1.0,,8.144e-07,297.3417,150218.0,,0.0057,1.0,4.013e-09,,0.0057,0.79,237.6988,,184.52,KIC,dr25,1.0,,1.206e-05,46.5434,,49280.0,,14.07,
K03578.01,PROB,KIC 10464666,1.0,,2.945e-07,289.5301,232839.0,,8.8e-05,1.0,2.236e-11,,8.8e-05,0.89,194.5835,,131.74,KIC,dr25,1.0,,5.249e-06,47.6262,,58107.0,,13.39,
K03579.01,PROB,KIC 5024292,1.0,,1.246e-05,295.3002,1479463.0,,6.2e-16,0.31,1.248e-19,,6.2e-16,0.74,132.2984,,2.15,KIC,dr25,1.0,,1.826e-05,40.1833,,165371.0,,14.57,
K03580.01,PROB,KIC 4659255,1.0,,1.457e-06,293.0484,603796.0,,0.0036,1.0,4.581e-09,,0.0036,0.78,234.1521,,198.01,KIC,dr25,1.0,,2.075e-05,39.7253,,142887.0,,15.55,
K03581.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03582.01,PROB,KIC 3428468,1.0,,8.431e-07,286.7234,979594.0,,0.0024,1.0,1.739e-09,,0.0024,0.87,199.4508,,114.91,KIC,dr25,1.0,,1.326e-05,38.5957,,195790.0,,15.93,
K03583.01,PROB,KIC 5130740,4.4e-74,,1.0,299.2195,94619.0,,6.2e-88,1.0,1.414e-14,,6.2e-88,0.64,285.1271,,210.31,KIC,dr25,4.4e-74,,2.008e-05,40.2123,,46294.0,,12.5,
K03584.01,PROB,KIC 9892471,1.0,,7.666e-07,292.5312,602880.0,,0.00068,1.0,4.524e-10,,0.00068,0.86,135.0562,,8.27,KIC,dr25,1.0,,1.341e-05,46.7287,,71191.0,,15.77,
K03585.01,PROB,KIC 2019076,1.0,,3.255e-06,292.4625,611910.0,,0.0085,1.0,2.388e-08,,0.0085,0.76,131.8616,,3.56,KIC,dr25,1.0,,2.411e-05,37.4426,,79063.0,,15.67,
K03586.01,PROB,KIC 7376500,1.0,1.5e-100,1.69e-05,295.6881,2364954.0,KIC 7376480,6.1e-102,1.0,6.795e-07,6.1e-102,0.046,0.77,136.4216,42.969,5.88,KIC,dr25,1.5e-100,KIC,1.12e-05,42.9706,2493603.0,8399.0,295.6849,15.18,16.5
K03587.01,FAILED,,,,,,,,,0.0,,,,0.87,,,,,dr25,,,,,,,,,
K03588.01,PROB,,,,1.113e-06,,,,8.2e-16,1.0,1.116e-20,,,0.83,132.4946,,1.27,,dr25,1.0,,1.981e-05,,,352420.0,,,
K03589.01,PROB,KIC 10751515,1.0,0.0,2.699e-05,298.522,998797.0,KIC 10751513,0.076,1.0,1.781e-06,8.8e-102,0.076,0.79,170.6083,48.0339,56.41,KIC,dr25,1.0,KIC,2.018e-05,48.0329,2420055.0,113964.0,298.522,15.68,17.0
K03590.01,PROB,KIC 3348093,1.0,,1.983e-06,292.9253,2570747.0,,0.0042,0.99,7.248e-09,,0.0042,0.76,131.5422,,3.98,KIC,dr25,1.0,,2.816e-05,38.481,,260587.0,,16.2,
K03591.01,MATCH,,,,,,,,0.0,1.0,,,,0.92,,,,,dr25,0.0,,,,,,,,
K03592.01,MATCH,,,,,,,,0.0,1.0,,,,0.77,,,,,dr25,0.0,,,,,,,,
K03593.01,PROB,KIC 3442054,1.0,,4.573e-07,291.0188,143075.0,,0.00011,1.0,4.351e-11,,0.00011,0.8,147.207,,117.68,KIC,dr25,1.0,,8.145e-06,38.5699,,45395.0,,12.11,
K03594.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03595.01,PROB,KIC 10677186,1.0,,7.94e-07,296.2229,343259.0,,0.002,1.0,1.389e-09,,0.002,0.82,216.0833,,100.4,KIC,dr25,1.0,,1.321e-05,47.9239,,53818.0,,15.02,
K03596.01,FAILED,,,,,,,,,0.0,,,,0.84,,,,,dr25,,,,,,,,,
K03597.01,PROB,KIC 9366988,1.0,1.1e-13,1.004e-05,299.9716,995752.0,KIC 9366989,0.024,0.84,2.06e-07,8e-15,0.024,0.73,132.0876,45.8097,1.22,KIC,dr25,1.0,KIC,1.77e-05,45.8119,1932558.0,85920.0,299.9718,14.37,14.91
K03598.01,FAILED,,,,,,,,,0.0,,,,0.81,,,,,dr25,,,,,,,,,
K03599.01,PROB,KIC 9715925,1.0,,1.231e-06,294.1644,966473.0,,0.0016,1.0,1.668e-09,,0.0016,0.84,134.3874,,6.31,KIC,dr25,1.0,,1.98e-05,46.424,,87501.0,,16.52,
K03600.01,PROB,KIC 9529733,0.0,,1.0,293.2088,1158348.0,,1.6e-109,1.0,1.414e-14,,1.6e-109,0.85,131.679,,2.4,KIC,dr25,0.0,,8.596e-06,46.1731,,130898.0,,14.04,
K03601.01,PROB,KIC 9613070,6.2e-96,,1.0,300.1565,1042793.0,,8.8e-110,1.0,1.414e-14,,8.8e-110,0.73,132.207,,2.33,KIC,dr25,6.2e-96,,1.616e-05,46.2033,,106184.0,,14.09,
K03602.01,PROB,KIC 10845188,1.0,,2.95e-08,283.5525,53508.0,,2e-20,1.0,2.95e-22,,2e-20,0.94,279.6581,,249.36,KIC,dr25,1.0,,4.297e-06,48.2229,,35487.0,,13.87,
