,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00586.01,PROB,KIC 9570741,1.0,,9.715e-06,282.7868,3937.0,,0.031,1.0,2.574e-07,,0.031,0.93,144.4073,,15.78,KIC,dr25,1.0,,5.381e-06,46.245,,533.0,,14.61,
K00587.01,PROB,KIC 9607164,1.0,,9.633e-06,298.3848,5848.0,,0.026,1.0,2.194e-07,,0.026,0.77,143.534,,14.03,KIC,dr25,1.0,,1.56e-05,46.276,,848.0,,14.57,
K00588.01,PROB,KIC 9631762,1.0,4.7e-101,2.285e-06,282.4506,4163.0,KIC 9631761,0.016,1.0,3.077e-08,6.3e-103,0.016,0.94,134.2577,46.3181,10.36,KIC,dr25,1.0,KIC,4.901e-06,46.3214,2415623.0,659.0,282.4496,14.34,16.32
K00589.01,PROB,KIC 9763754,1.0,,0.0009887,288.6496,298.0,,0.037,0.0,3.201e-05,,0.037,0.89,186.5689,,17.48,KIC,dr25,1.0,,7.004e-06,46.5977,,23.0,,14.55,
K00590.01,PROB,KIC 9782691,1.0,3.3e-11,4.302e-05,296.4986,2497.0,UKIRT 44117907558087,0.027,1.0,9.889e-07,1.7e-11,0.027,0.8,140.3876,46.5772,11.39,KIC,dr25,1.0,UKIRT,1.302e-05,46.5772,558386.0,424.0,296.4969,14.62,19.67
K00590.02,PROB,KIC 9782691,1.0,4.2e-10,3.403e-05,296.4986,3015.0,UKIRT 44117907558087,0.023,1.0,6.834e-07,5.3e-10,0.023,0.8,141.3131,46.5772,50.7,KIC,dr25,1.0,UKIRT,1.302e-05,46.5772,672640.0,624.0,296.4969,14.62,19.67
K00591.01,PROB,KIC 9886224,1.0,3.4e-104,2.448e-09,289.8569,1340350.0,KIC 9886221,2.8e-106,0.12,2.018e-11,2.8e-106,0.0095,0.89,131.8952,46.7871,2.99,KIC,dr25,3.4e-104,KIC,7.184e-06,46.7899,728.0,102.0,289.8533,16.33,14.4
K00592.01,PROB,KIC 9957627,1.0,7.5e-12,1.406e-05,294.4627,3703.0,UKIRT 44117907843022,0.036,1.0,4.409e-07,4.1e-12,0.036,0.84,135.714,46.8209,39.75,KIC,dr25,1.0,UKIRT,9.801e-06,46.8214,81518.0,550.0,294.4632,14.29,17.59
K00593.01,PROB,KIC 9958962,1.0,3.5e-05,6.315e-05,294.9891,4321.0,KIC 9958956,0.04,0.99,2.163e-06,3.8e-06,0.04,0.83,131.7968,46.8399,10.0,KIC,dr25,1.0,KIC,1.252e-05,46.8383,150079.0,628.0,294.9873,14.96,16.25
K00593.02,PROB,KIC 9958962,0.99,0.0081,7.999e-05,294.9891,3973.0,KIC 9958971,0.039,1.0,2.703e-06,0.00031,0.039,0.83,208.5034,46.8376,90.41,KIC,dr25,0.99,KIC,1.252e-05,46.8383,2368580.0,1172.0,294.9923,14.96,19.19
K00593.03,PROB,KIC 9958962,0.99,0.011,0.0001217,294.9891,3912.0,KIC 9958963,0.025,0.99,2.619e-06,0.002,0.025,0.83,147.6116,46.8395,51.07,KIC,dr25,0.99,KIC,1.252e-05,46.8383,53804.0,623.0,294.9892,14.96,17.03
K00593.04,PROB,KIC 9958962,0.91,0.086,0.0001295,294.9891,946.0,KIC 9958963,0.11,0.95,1.355e-05,0.017,0.11,0.83,168.3145,46.8395,240.19,KIC,dr25,0.91,KIC,1.252e-05,46.8383,17372.0,810.0,294.9892,14.96,17.03
K00594.01,PROB,KIC 10216045,1.0,,0.0008253,294.9879,399.0,,0.064,0.0,4.563e-05,,0.064,0.83,183.1713,,16.89,KIC,dr25,1.0,,1.139e-05,47.2199,,0.0,,14.74,
K00595.01,PROB,KIC 10294482,0.68,0.16,0.000842,298.704,2326285.0,KIC 10294495,9.2e-19,0.0,8.422e-18,3.7e-17,1.6e-16,0.78,250.9784,47.3384,200.0,KIC,dr25,0.0032,KIC,1.675e-05,47.3341,376444.0,198.0,298.7081,18.51,17.1
K00596.01,PROB,KIC 10388286,1.0,,1.459e-06,283.7407,5127.0,,0.014,1.0,1.831e-08,,0.014,0.93,131.7517,,1.68,KIC,dr25,1.0,,5.788e-06,47.5163,,644.0,,14.82,
K00597.01,PROB,KIC 10600261,1.0,3.5e-09,2.929e-05,291.9714,4083.0,UKIRT 44117906628410,0.031,0.99,7.878e-07,1.1e-09,0.031,0.87,142.326,47.8628,17.31,KIC,dr25,1.0,UKIRT,9.222e-06,47.8642,1687693.0,619.0,291.9715,14.91,20.5
K00597.02,PROB,KIC 10600261,1.0,1e-08,2.308e-05,291.9714,1273.0,UKIRT 44117906628410,0.022,1.0,4.316e-07,6.6e-09,0.022,0.87,133.0611,47.8628,2.09,KIC,dr25,1.0,UKIRT,9.222e-06,47.8642,651100.0,193.0,291.9715,14.91,20.5
K00597.03,PROB,KIC 10600261,1.0,1.2e-08,4.085e-05,291.9714,3815.0,UKIRT 44117906628410,0.032,1.0,1.148e-06,3e-08,0.032,0.87,164.9021,47.8628,52.82,KIC,dr25,1.0,UKIRT,9.222e-06,47.8642,1315382.0,572.0,291.9715,14.91,20.5
K00598.01,FAILED,,,,,,,,,0.0,,,,0.91,,,,,dr25,,,,,,,,,
K00598.02,PROB,KIC 10656821,0.88,0.081,2.065e-05,288.1207,227062.0,KIC 10656823,0.014,0.54,3.538e-06,0.014,0.18,0.91,153.816,47.9667,34.1,KIC,dr25,0.081,KIC,6.994e-06,47.9686,3227.0,441.0,288.121,17.35,14.81
K00599.01,PROB,KIC 10676824,1.0,3.7e-44,5.801e-06,296.1207,4056.0,UKIRT 44117906725797,0.011,1.0,5.455e-08,1.4e-43,0.011,0.82,134.4895,47.921,6.45,KIC,dr25,1.0,UKIRT,1.242e-05,47.9215,742872.0,586.0,296.1194,14.85,20.27
K00600.01,PROB,KIC 10718726,1.0,3.5e-36,4.202e-06,286.2498,2666.0,KIC 10718730,0.015,1.0,5.59e-08,7e-36,0.015,0.92,134.412,48.0603,3.6,KIC,dr25,1.0,KIC,6.37e-06,48.0609,100751.0,377.0,286.2506,14.83,18.48
K00600.02,PROB,KIC 10718726,1.0,4e-26,6.031e-06,286.2498,494.0,KIC 10718730,6.4e-20,1.0,6.031e-20,5.6e-42,6.4e-20,0.92,421.8583,48.0603,294.05,KIC,dr25,1.0,KIC,6.37e-06,48.0609,16528.0,829.0,286.2506,14.83,18.48
K00601.01,PROB,KIC 10973664,1.0,,3.221e-06,290.8491,4365.0,,0.024,1.0,6.807e-08,,0.024,0.89,134.3555,,5.4,KIC,dr25,1.0,,7.805e-06,48.416,,787.0,,14.7,
K00601.02,PROB,KIC 10973664,1.0,,5.381e-06,290.8491,8425.0,,0.011,1.0,5.335e-08,,0.011,0.89,143.1911,,11.68,KIC,dr25,1.0,,7.805e-06,48.416,,1242.0,,14.7,
K00601.03,PROB,KIC 10973664,1.0,,2.753e-06,290.8491,1266.0,,0.011,1.0,2.513e-08,,0.011,0.89,132.4684,,1.21,KIC,dr25,1.0,,7.805e-06,48.416,,225.0,,14.7,
K00602.01,PROB,KIC 12459913,1.0,6.3e-10,1.424e-05,291.1594,3418.0,KIC 12459911,0.016,1.0,1.949e-07,2.5e-10,0.016,0.9,138.5356,51.3341,12.91,KIC,dr25,1.0,KIC,6.964e-06,51.3349,135883.0,482.0,291.1581,14.65,18.23
K00603.01,MATCH,KIC 2441151,2.4e-63,7.1e-96,1.0,290.9373,12110.0,KIC 2441153,4.7e-63,0.12,1.414e-14,1e-109,4.7e-63,0.79,132.2161,37.7054,2.19,KIC,dr25,2.4e-63,KIC,1.415e-05,37.704,245660.0,1224.0,290.9376,14.69,16.28
K00604.01,PROB,KIC 3970233,1.0,,1.362e-06,295.4819,134104.0,,0.0057,1.0,6.768e-09,,0.0057,0.71,133.1604,,8.25,KIC,dr25,1.0,,1.754e-05,39.0173,,19340.0,,14.03,
K00605.01,PROB,KIC 4832837,0.56,0.44,1.277e-06,290.9273,15758.0,hiresKIC 22000146,0.0053,1.0,1.02e-08,0.0053,0.0053,0.82,132.9295,39.9141,2.63,KIC,dr25,0.56,hiresKIC,1.319e-05,39.9141,12316.0,876.0,290.9273,14.91,14.65
